tower_id,tower_name,city,state,latitude,longitude,technology,vendor,capacity,installation_date,status
TWR00045,MUM-TWR-0045,Mumbai,Maharashtra,19.086496,72.893496,4G,Cisco,1992,2022-06-08,Active
TWR00046,LUC-TWR-0046,Lucknow,Uttar Pradesh,26.843875,80.929281,5G,Ericsson,3952,2025-05-08,Degraded
TWR00047,PUN-TWR-0047,Pune,Maharashtra,18.510377,73.86638,4G,Samsung Networks,4042,2022-06-22,Active
TWR00048,HYD-TWR-0048,Hyderabad,Telangana,17.37881,78.497338,4G,Samsung Networks,4287,2022-05-12,Degraded
TWR00049,MUM-TWR-0049,Mumbai,Maharashtra,19.09713,72.888599,5G,Nokia,4917,2023-12-01,Active
TWR00050,BEN-TWR-0050,Bengaluru,Karnataka,12.957543,77.627141,5G,Ericsson,4498,2024-06-13,Active
TWR00051,CHE-TWR-0051,Chennai,Tamil Nadu,13.094839,80.282874,4G,Samsung Networks,1796,2025-11-10,Maintenance
TWR00052,JAI-TWR-0052,Jaipur,Rajasthan,26.915142,75.799305,4G,Ericsson,4334,2021-06-18,Degraded
TWR00053,PUN-TWR-0053,Pune,Maharashtra,18.525717,73.832537,4G,Samsung Networks,3904,2025-10-28,Active
TWR00054,LUC-TWR-0054,Lucknow,Uttar Pradesh,26.849475,80.98154,5G,Cisco,2066,2026-01-09,Active
TWR00055,HYD-TWR-0055,Hyderabad,Telangana,17.366264,78.495675,5G,Cisco,4559,2025-03-30,Degraded
TWR00056,MUM-TWR-0056,Mumbai,Maharashtra,19.046632,72.913707,5G,Nokia,3987,2023-03-14,Active
TWR00057,HYD-TWR-0057,Hyderabad,Telangana,17.350572,78.481028,4G,Samsung Networks,2848,2023-02-22,Degraded
TWR00058,HYD-TWR-0058,Hyderabad,Telangana,17.410502,78.489387,5G,Ericsson,1970,2026-01-10,Degraded
TWR00059,KOL-TWR-0059,Kolkata,West Bengal,22.565917,88.344536,4G,Cisco,4619,2026-01-08,Degraded
TWR00060,BEN-TWR-0060,Bengaluru,Karnataka,12.948838,77.579351,5G,Nokia,2454,2021-03-29,Degraded
TWR00061,AHM-TWR-0061,Ahmedabad,Gujarat,23.033725,72.602189,4G,Huawei,4663,2022-02-27,Active
TWR00062,HYD-TWR-0062,Hyderabad,Telangana,17.410936,78.514909,4G,Huawei,4395,2022-03-18,Maintenance
TWR00063,MUM-TWR-0063,Mumbai,Maharashtra,19.076952,72.844142,5G,Samsung Networks,4921,2022-09-14,Maintenance
TWR00064,CHE-TWR-0064,Chennai,Tamil Nadu,13.105686,80.256573,5G,Cisco,1824,2023-05-18,Active
TWR00065,PUN-TWR-0065,Pune,Maharashtra,18.549296,73.876587,4G,Nokia,4063,2022-12-08,Active
TWR00066,JAI-TWR-0066,Jaipur,Rajasthan,26.9222,75.794975,4G,Samsung Networks,2658,2025-04-15,Active
TWR00067,MUM-TWR-0067,Mumbai,Maharashtra,19.051697,72.887293,5G,Nokia,3575,2022-02-16,Active
TWR00068,DEL-TWR-0068,Delhi,Delhi,28.743817,77.115055,4G,Samsung Networks,4428,2026-02-03,Maintenance
TWR00069,HYD-TWR-0069,Hyderabad,Telangana,17.364685,78.468772,4G,Samsung Networks,4106,2022-08-07,Maintenance
TWR00070,KOL-TWR-0070,Kolkata,West Bengal,22.549967,88.390282,4G,Huawei,2088,2022-09-14,Active
TWR00071,AHM-TWR-0071,Ahmedabad,Gujarat,23.016267,72.551766,5G,Ericsson,3466,2024-04-15,Degraded
TWR00072,AHM-TWR-0072,Ahmedabad,Gujarat,23.009517,72.604192,4G,Huawei,2494,2023-06-02,Active
TWR00073,PUN-TWR-0073,Pune,Maharashtra,18.515671,73.827783,5G,Cisco,1608,2025-06-01,Degraded
TWR00074,HYD-TWR-0074,Hyderabad,Telangana,17.418217,78.492081,5G,Huawei,2729,2024-11-04,Active
TWR00075,HYD-TWR-0075,Hyderabad,Telangana,17.360481,78.472732,4G,Nokia,4151,2021-12-08,Maintenance
TWR00076,MUM-TWR-0076,Mumbai,Maharashtra,19.089525,72.911707,4G,Samsung Networks,2522,2021-03-14,Active
TWR00077,LUC-TWR-0077,Lucknow,Uttar Pradesh,26.81522,80.915798,5G,Huawei,3797,2022-01-19,Active
TWR00078,PUN-TWR-0078,Pune,Maharashtra,18.552445,73.858611,5G,Ericsson,2286,2025-07-07,Maintenance
TWR00079,DEL-TWR-0079,Delhi,Delhi,28.725586,77.136282,4G,Cisco,4068,2023-10-23,Degraded
TWR00080,KOL-TWR-0080,Kolkata,West Bengal,22.597878,88.392662,4G,Samsung Networks,4098,2025-04-02,Active
TWR00081,KOL-TWR-0081,Kolkata,West Bengal,22.559191,88.367299,5G,Ericsson,1563,2021-07-26,Active
TWR00082,MUM-TWR-0082,Mumbai,Maharashtra,19.070545,72.845426,5G,Huawei,2312,2021-05-18,Degraded
TWR00083,MUM-TWR-0083,Mumbai,Maharashtra,19.0623,72.908543,4G,Ericsson,4435,2021-12-01,Maintenance
TWR00084,BEN-TWR-0084,Bengaluru,Karnataka,13.003144,77.609261,4G,Ericsson,3047,2026-02-08,Active
TWR00085,JAI-TWR-0085,Jaipur,Rajasthan,26.930621,75.758609,5G,Samsung Networks,1718,2025-07-19,Active
TWR00086,MUM-TWR-0086,Mumbai,Maharashtra,19.084207,72.870281,5G,Samsung Networks,3997,2022-05-04,Maintenance
TWR00087,MUM-TWR-0087,Mumbai,Maharashtra,19.094456,72.85868,5G,Ericsson,3184,2022-08-16,Maintenance
TWR00088,MUM-TWR-0088,Mumbai,Maharashtra,19.067265,72.853907,5G,Nokia,3887,2024-01-07,Maintenance
TWR00089,BEN-TWR-0089,Bengaluru,Karnataka,12.95921,77.63238,4G,Samsung Networks,2531,2024-06-28,Active
TWR00090,MUM-TWR-0090,Mumbai,Maharashtra,19.077056,72.862343,4G,Ericsson,4143,2022-02-24,Degraded
TWR00091,BEN-TWR-0091,Bengaluru,Karnataka,13.006778,77.560106,5G,Huawei,4271,2022-05-13,Degraded
TWR00092,AHM-TWR-0092,Ahmedabad,Gujarat,23.016356,72.549799,5G,Huawei,1914,2022-06-26,Active
TWR00093,JAI-TWR-0093,Jaipur,Rajasthan,26.9131,75.811991,4G,Samsung Networks,2587,2023-08-03,Active
TWR00094,KOL-TWR-0094,Kolkata,West Bengal,22.565363,88.355678,5G,Nokia,4954,2021-09-20,Active
TWR00095,CHE-TWR-0095,Chennai,Tamil Nadu,13.09721,80.303821,5G,Nokia,4403,2025-10-28,Degraded
TWR00096,DEL-TWR-0096,Delhi,Delhi,28.709763,77.118512,5G,Cisco,4219,2024-09-22,Maintenance
TWR00097,DEL-TWR-0097,Delhi,Delhi,28.686488,77.074172,5G,Cisco,2164,2022-01-22,Active
TWR00098,CHE-TWR-0098,Chennai,Tamil Nadu,13.044892,80.27104,5G,Huawei,4800,2022-11-14,Maintenance
TWR00099,CHE-TWR-0099,Chennai,Tamil Nadu,13.108824,80.270104,5G,Huawei,1592,2024-03-21,Active
TWR00100,DEL-TWR-0100,Delhi,Delhi,28.713412,77.126019,5G,Huawei,2858,2024-04-08,Active
