ticket_id,customer_id,category,priority,channel,created_at,resolved_at,resolution_time_hours,status,satisfaction_score
TKT000113,4962-CHQPW,Broadband Outage,Medium,Mobile App,2026-08-25 20:49:00,,,Escalated,
TKT000114,0390-DCFDQ,Call Drops,High,Chatbot,2026-07-11 14:50:00,2026-07-14 07:08:00,64.3,Closed,3.0
TKT000115,0643-OKLRP,SIM Issue,Critical,Web Portal,2026-02-25 07:29:00,2026-02-25 08:29:00,1.0,Closed,3.0
TKT000116,9117-SHLZX,Network Slowdown,Low,Chatbot,2026-05-23 23:35:00,2026-05-24 22:47:00,23.2,Resolved,3.0
TKT000117,6567-HOOPW,Call Drops,Medium,Call Center,2026-08-10 13:43:00,2026-08-12 03:19:00,37.6,Closed,2.0
TKT000118,0515-YPMCW,Network Slowdown,Low,Call Center,2026-03-04 14:28:00,2026-03-06 07:58:00,41.5,Closed,1.0
TKT000119,6352-TWCAU,Plan Modification,Medium,Mobile App,2026-02-14 10:25:00,,,In Progress,
TKT000120,7821-DPRQE,Roaming Issue,Medium,Retail Store,2026-06-20 17:42:00,2026-06-22 03:42:00,34.0,Resolved,3.0
TKT000121,2541-YGPKE,Network Slowdown,Low,Mobile App,2026-03-11 23:57:00,2026-03-12 06:09:00,6.2,Closed,5.0
TKT000122,7247-XOZPB,Billing Dispute,Medium,Web Portal,2026-06-28 17:49:00,,,Escalated,
TKT000123,4226-KKDON,Billing Dispute,Low,Retail Store,2026-01-09 08:14:00,2026-01-11 16:14:00,56.0,Closed,3.0
TKT000124,2359-KMGLI,Roaming Issue,Critical,Chatbot,2026-04-12 17:21:00,2026-04-14 14:45:00,45.4,Resolved,2.0
TKT000125,0750-EKNGL,SIM Issue,Medium,Retail Store,2026-03-09 23:13:00,,,In Progress,
TKT000126,4720-VSTSI,Billing Dispute,High,Retail Store,2026-06-11 21:47:00,,,Escalated,
TKT000127,4325-NFSKC,SIM Issue,Medium,Web Portal,2026-08-15 10:26:00,2026-08-16 22:20:00,35.9,Closed,1.0
TKT000128,4846-WHAFZ,Roaming Issue,High,Retail Store,2026-04-21 09:10:00,,,Escalated,
TKT000129,6424-ELEYH,Billing Dispute,Low,Web Portal,2026-06-30 09:21:00,2026-07-01 19:27:00,34.1,Closed,3.0
TKT000130,9058-CBREO,Broadband Outage,Low,Chatbot,2026-07-10 23:14:00,2026-07-11 05:14:00,6.0,Closed,3.0
TKT000131,2607-DHDAK,Roaming Issue,Medium,Web Portal,2026-05-29 15:13:00,2026-05-31 01:19:00,34.1,Closed,4.0
TKT000132,9274-CNFMO,Call Drops,High,Web Portal,2026-02-05 23:19:00,2026-02-08 01:43:00,50.4,Closed,2.0
TKT000133,2439-QKJUL,Roaming Issue,Critical,Call Center,2026-04-29 21:53:00,2026-05-01 08:47:00,34.9,Closed,3.0
TKT000134,6366-XIVKZ,SIM Issue,High,Retail Store,2026-03-09 08:23:00,,,In Progress,
TKT000135,3308-JSGML,Network Slowdown,Critical,Mobile App,2026-06-29 14:33:00,2026-06-30 07:21:00,16.8,Resolved,5.0
TKT000136,4210-QFJMF,Plan Modification,Medium,Retail Store,2026-04-10 20:08:00,2026-04-12 03:20:00,31.2,Closed,2.0
TKT000137,4381-MHQDC,Roaming Issue,Critical,Retail Store,2026-04-22 08:04:00,,,In Progress,
TKT000138,3186-BAXNB,SIM Issue,High,Web Portal,2026-04-19 12:10:00,,,In Progress,
TKT000139,3688-FTHLT,Plan Modification,High,Retail Store,2026-02-08 07:06:00,2026-02-10 00:48:00,41.7,Resolved,1.0
TKT000140,5311-IHLEI,Call Drops,High,Web Portal,2026-08-02 21:41:00,2026-08-03 12:41:00,15.0,Resolved,3.0
TKT000141,3190-XFANI,Plan Modification,Medium,Retail Store,2026-08-19 14:06:00,2026-08-21 01:42:00,35.6,Closed,1.0
TKT000142,5461-QKNTN,Call Drops,Medium,Retail Store,2026-02-16 15:08:00,,,Escalated,
TKT000143,5220-AGAAX,SIM Issue,High,Retail Store,2026-06-30 23:05:00,2026-07-01 16:23:00,17.3,Resolved,4.0
TKT000144,7739-LAXOG,Billing Dispute,Low,Retail Store,2026-03-29 11:50:00,2026-04-01 02:20:00,62.5,Resolved,1.0
TKT000145,8329-GWVPJ,Call Drops,Critical,Web Portal,2026-04-18 22:00:00,2026-04-20 05:00:00,31.0,Closed,4.0
TKT000146,4342-HENTK,Roaming Issue,High,Call Center,2026-03-05 08:59:00,,,In Progress,
TKT000147,1236-WFCDV,Call Drops,High,Chatbot,2026-08-15 21:03:00,,,Escalated,
TKT000148,5229-PRWKT,Network Slowdown,Critical,Retail Store,2026-02-19 22:49:00,,,Escalated,
TKT000149,1133-KXCGE,Broadband Outage,Medium,Mobile App,2026-03-31 12:28:00,2026-04-02 15:28:00,51.0,Closed,4.0
TKT000150,9530-EHPOH,Billing Dispute,Low,Mobile App,2026-01-11 19:42:00,,,In Progress,
TKT000151,3334-CTHOL,SIM Issue,Critical,Web Portal,2026-02-17 11:37:00,,,Escalated,
TKT000152,6762-NSODU,Network Slowdown,High,Chatbot,2026-05-07 16:35:00,,,In Progress,
TKT000153,4940-KHCWD,Billing Dispute,Low,Web Portal,2026-04-01 18:33:00,,,Escalated,
TKT000154,5649-TJHOV,Call Drops,Medium,Chatbot,2026-07-10 14:06:00,2026-07-13 11:24:00,69.3,Closed,3.0
TKT000155,5906-CVLHP,Billing Dispute,Low,Call Center,2026-05-06 15:26:00,,,Escalated,
TKT000156,1981-INRFU,Roaming Issue,Low,Web Portal,2026-01-17 19:32:00,2026-01-19 13:32:00,42.0,Resolved,3.0
TKT000157,0704-VCUMB,Plan Modification,Medium,Chatbot,2026-02-18 08:13:00,,,In Progress,
TKT000158,3955-JBZZM,Broadband Outage,Low,Chatbot,2026-08-13 15:51:00,2026-08-15 02:21:00,34.5,Resolved,5.0
TKT000159,9928-BZVLZ,Network Slowdown,Low,Web Portal,2026-07-13 19:52:00,,,In Progress,
TKT000160,0640-YJTPY,Roaming Issue,Critical,Web Portal,2026-04-27 20:19:00,2026-04-28 17:49:00,21.5,Closed,3.0
TKT000161,2541-YGPKE,SIM Issue,Medium,Web Portal,2026-02-22 15:30:00,,,In Progress,
TKT000162,3363-DTIVD,Call Drops,High,Call Center,2026-06-25 11:47:00,2026-06-25 20:41:00,8.9,Closed,1.0
TKT000163,9490-DFPMD,Plan Modification,Critical,Call Center,2026-04-24 07:15:00,2026-04-26 01:45:00,42.5,Resolved,3.0
TKT000164,6022-UGGSO,Broadband Outage,Medium,Web Portal,2026-01-11 17:45:00,,,Escalated,
TKT000165,8086-OVPWV,Roaming Issue,Medium,Retail Store,2026-08-02 15:03:00,2026-08-04 08:39:00,41.6,Resolved,2.0
TKT000166,8849-GYOKR,Broadband Outage,High,Call Center,2026-05-21 15:33:00,2026-05-22 17:33:00,26.0,Closed,1.0
TKT000167,5940-NFXKV,SIM Issue,Medium,Call Center,2026-08-26 12:51:00,2026-08-28 19:45:00,54.9,Closed,2.0
TKT000168,7198-GLXTC,Network Slowdown,Medium,Call Center,2026-05-18 23:38:00,2026-05-21 08:14:00,56.6,Resolved,3.0
TKT000169,1323-OOEPC,Network Slowdown,Low,Mobile App,2026-04-27 11:37:00,2026-04-27 23:31:00,11.9,Resolved,3.0
TKT000170,3130-ICDUP,Roaming Issue,High,Web Portal,2026-07-17 09:00:00,2026-07-18 11:18:00,26.3,Resolved,4.0
TKT000171,1624-NALOJ,Call Drops,Low,Call Center,2026-04-25 15:30:00,2026-04-25 21:24:00,5.9,Closed,2.0
TKT000172,6217-TOWGS,Billing Dispute,Low,Mobile App,2026-05-25 20:47:00,,,Escalated,
TKT000173,3373-DIUUN,Broadband Outage,Critical,Chatbot,2026-04-20 15:08:00,2026-04-23 04:08:00,61.0,Resolved,5.0
TKT000174,1935-IMVBB,Billing Dispute,Low,Chatbot,2026-04-19 09:16:00,,,Escalated,
TKT000175,0013-EXCHZ,Call Drops,High,Call Center,2026-07-14 08:21:00,,,Escalated,
TKT000176,1029-QFBEN,Plan Modification,High,Retail Store,2026-05-26 07:30:00,2026-05-26 15:00:00,7.5,Closed,3.0
TKT000177,8654-DHAOW,SIM Issue,Low,Retail Store,2026-03-18 15:32:00,2026-03-19 10:38:00,19.1,Closed,3.0
TKT000178,4707-MAXGU,SIM Issue,Critical,Web Portal,2026-08-24 19:57:00,2026-08-25 00:09:00,4.2,Resolved,3.0
TKT000179,5780-INQIK,Roaming Issue,Medium,Mobile App,2026-07-21 14:26:00,,,Escalated,
TKT000180,2789-CZANW,Call Drops,Low,Web Portal,2026-05-26 09:08:00,,,Escalated,
TKT000181,0404-SWRVG,Billing Dispute,Low,Web Portal,2026-08-29 23:13:00,2026-08-30 06:31:00,7.3,Closed,3.0
TKT000182,6086-ESGRL,Plan Modification,Critical,Retail Store,2026-06-19 22:05:00,2026-06-20 04:53:00,6.8,Closed,1.0
TKT000183,1534-OULXE,Call Drops,High,Retail Store,2026-01-13 18:27:00,,,Escalated,
TKT000184,6990-YNRIO,SIM Issue,Medium,Retail Store,2026-06-12 18:41:00,2026-06-14 05:47:00,35.1,Resolved,1.0
TKT000185,5208-HFSBT,Billing Dispute,High,Web Portal,2026-06-20 10:56:00,2026-06-22 21:26:00,58.5,Closed,2.0
TKT000186,2135-RXIHG,Roaming Issue,Low,Chatbot,2026-02-06 18:59:00,2026-02-09 06:47:00,59.8,Closed,3.0
TKT000187,9137-NOQKA,Plan Modification,Critical,Call Center,2026-05-28 22:30:00,2026-05-31 15:36:00,65.1,Closed,4.0
TKT000188,2845-HSJCY,Broadband Outage,Critical,Retail Store,2026-06-03 15:07:00,2026-06-05 09:19:00,42.2,Resolved,2.0
TKT000189,1750-CSKKM,Plan Modification,Critical,Call Center,2026-01-28 11:43:00,,,In Progress,
TKT000190,2929-ERCFZ,Roaming Issue,Critical,Retail Store,2026-04-07 17:30:00,2026-04-10 00:24:00,54.9,Resolved,1.0
TKT000191,8750-QWZAJ,SIM Issue,Low,Call Center,2026-08-26 14:32:00,2026-08-29 00:56:00,58.4,Closed,1.0
TKT000192,7641-EUYET,Plan Modification,Medium,Chatbot,2026-06-13 17:43:00,2026-06-16 04:19:00,58.6,Closed,1.0
TKT000193,0788-DXBFY,Network Slowdown,Medium,Web Portal,2026-07-02 08:06:00,,,Escalated,
TKT000194,4415-IJZTP,Call Drops,Critical,Chatbot,2026-06-30 08:02:00,2026-07-01 14:38:00,30.6,Closed,1.0
TKT000195,5515-AKOAJ,Plan Modification,Medium,Call Center,2026-03-16 20:01:00,2026-03-18 07:55:00,35.9,Closed,3.0
TKT000196,0867-MKZVY,Billing Dispute,Medium,Mobile App,2026-02-13 08:31:00,2026-02-15 21:55:00,61.4,Closed,2.0
TKT000197,8201-AAXCB,SIM Issue,High,Mobile App,2026-07-02 20:26:00,2026-07-04 11:56:00,39.5,Resolved,4.0
TKT000198,0004-TLHLJ,Billing Dispute,Critical,Call Center,2026-05-15 22:39:00,,,In Progress,
TKT000199,6685-GBWJZ,Network Slowdown,Critical,Chatbot,2026-08-19 20:20:00,,,In Progress,
TKT000200,4425-OWHWB,Broadband Outage,Medium,Retail Store,2026-02-10 10:15:00,,,In Progress,
TKT000201,2403-BCASL,Broadband Outage,Medium,Retail Store,2026-07-14 13:53:00,2026-07-16 06:59:00,41.1,Closed,3.0
TKT000202,4906-ZHGPK,SIM Issue,Low,Web Portal,2026-08-12 13:19:00,,,In Progress,
TKT000203,2968-SSGAA,Roaming Issue,Medium,Retail Store,2026-06-06 09:00:00,2026-06-06 15:12:00,6.2,Resolved,1.0
TKT000204,8584-KMVXD,Network Slowdown,High,Chatbot,2026-08-29 16:56:00,,,Escalated,
TKT000205,8058-JMEQO,Roaming Issue,Low,Mobile App,2026-01-14 17:11:00,,,In Progress,
TKT000206,6551-VLJMV,Broadband Outage,Medium,Retail Store,2026-06-20 19:48:00,2026-06-20 21:48:00,2.0,Closed,5.0
TKT000207,0727-IWKVK,Call Drops,Critical,Web Portal,2026-08-22 21:03:00,,,Escalated,
TKT000208,7156-MHUGY,SIM Issue,Critical,Mobile App,2026-08-27 14:54:00,,,Escalated,
TKT000209,7064-FRRSW,Network Slowdown,Medium,Chatbot,2026-08-21 18:44:00,2026-08-22 15:20:00,20.6,Closed,3.0
TKT000210,2634-HCZGT,Billing Dispute,Low,Call Center,2026-03-03 22:51:00,2026-03-05 08:45:00,33.9,Closed,3.0
TKT000211,7876-AEHIG,SIM Issue,Critical,Chatbot,2026-01-01 08:58:00,,,In Progress,
TKT000212,9639-BUJXT,Roaming Issue,Medium,Chatbot,2026-04-10 17:34:00,2026-04-13 02:34:00,57.0,Resolved,4.0
TKT000213,1833-VGRUM,Billing Dispute,High,Web Portal,2026-08-25 17:43:00,2026-08-26 06:13:00,12.5,Resolved,2.0
TKT000214,7663-RGWBC,Network Slowdown,Critical,Mobile App,2026-01-29 07:02:00,2026-01-31 18:02:00,59.0,Closed,1.0
TKT000215,3096-JRDSO,Network Slowdown,Medium,Mobile App,2026-02-27 12:02:00,,,In Progress,
TKT000216,2072-ZVJJX,Roaming Issue,High,Web Portal,2026-01-29 22:00:00,2026-01-30 16:54:00,18.9,Closed,5.0
TKT000217,4285-GYRQC,Plan Modification,Low,Call Center,2026-02-11 09:20:00,,,Escalated,
TKT000218,7817-OMJNA,SIM Issue,Medium,Chatbot,2026-06-03 11:20:00,,,Escalated,
TKT000219,2027-CWDNU,Network Slowdown,Critical,Call Center,2026-08-10 18:06:00,2026-08-12 15:30:00,45.4,Closed,4.0
TKT000220,3059-NGMXB,Broadband Outage,Medium,Call Center,2026-04-30 07:07:00,2026-05-01 04:19:00,21.2,Closed,4.0
