bill_id,customer_id,billing_period,bill_date,due_date,base_amount,additional_charges,discount_amount,tax_amount,total_amount,payment_status
BIL0000079,0191-ZHSKZ,2026-06,2026-06-01,2026-06-16,74.75,0.0,0.0,13.46,88.21,Paid
BIL0000080,3887-PBQAO,2026-06,2026-06-01,2026-06-16,25.9,0.0,0.0,4.66,30.56,Paid
BIL0000081,5919-TMRGD,2026-06,2026-06-01,2026-06-16,79.35,0.0,0.0,14.28,93.63,Paid
BIL0000082,8108-UXRQN,2026-06,2026-06-01,2026-06-16,50.55,150.0,0.0,36.1,236.65,Paid
BIL0000083,9191-MYQKX,2026-06,2026-06-01,2026-06-16,75.15,0.0,0.0,13.53,88.68,Paid
BIL0000084,9919-YLNNG,2026-06,2026-06-01,2026-06-16,103.8,0.0,0.0,18.68,122.48,Paid
BIL0000085,0318-ZOPWS,2026-06,2026-06-01,2026-06-16,20.15,50.0,25.0,8.13,53.28,Paid
BIL0000086,4445-ZJNMU,2026-06,2026-06-01,2026-06-16,99.3,100.0,0.0,35.87,235.17,Paid
BIL0000087,4808-YNLEU,2026-06,2026-06-01,2026-06-16,62.15,0.0,25.0,6.69,43.84,Paid
BIL0000088,1862-QRWPE,2026-06,2026-06-01,2026-06-16,20.65,0.0,50.0,0.0,0.0,Paid
BIL0000089,2796-NNUFI,2026-06,2026-06-01,2026-06-16,19.95,150.0,50.0,21.59,141.54,Paid
BIL0000090,3016-KSVCP,2026-06,2026-06-01,2026-06-16,33.75,0.0,50.0,0.0,0.0,Paid
BIL0000091,4767-HZZHQ,2026-06,2026-06-01,2026-06-16,82.05,150.0,0.0,41.77,273.82,Paid
BIL0000092,2424-WVHPL,2026-06,2026-06-01,2026-06-16,74.7,150.0,25.0,35.95,235.65,Paid
BIL0000093,7233-PAHHL,2026-06,2026-06-01,2026-06-16,84.0,150.0,50.0,33.12,217.12,Paid
BIL0000094,6067-NGCEU,2026-06,2026-06-01,2026-06-16,111.05,0.0,50.0,10.99,72.04,Paid
BIL0000095,9848-JQJTX,2026-06,2026-06-01,2026-06-16,100.9,0.0,0.0,18.16,119.06,Paid
BIL0000096,8637-XJIVR,2026-06,2026-06-01,2026-06-16,78.95,0.0,0.0,14.21,93.16,Paid
BIL0000097,9803-FTJCG,2026-06,2026-06-01,2026-06-16,66.85,100.0,0.0,30.03,196.88,Paid
BIL0000098,0278-YXOOG,2026-06,2026-06-01,2026-06-16,21.05,0.0,50.0,0.0,0.0,Paid
BIL0000099,3212-KXOCR,2026-06,2026-06-01,2026-06-16,21.0,0.0,0.0,3.78,24.78,Paid
BIL0000100,4598-XLKNJ,2026-06,2026-06-01,2026-06-16,98.5,150.0,50.0,35.73,234.23,Overdue
BIL0000101,6380-ARCEH,2026-06,2026-06-01,2026-06-16,20.2,100.0,50.0,12.64,82.84,Paid
BIL0000102,3679-XASPY,2026-06,2026-06-01,2026-06-16,19.45,100.0,50.0,12.5,81.95,Paid
BIL0000103,7123-WQUHX,2026-06,2026-06-01,2026-06-16,95.0,0.0,0.0,17.1,112.1,Paid
BIL0000104,5386-THSLQ,2026-06,2026-06-01,2026-06-16,45.55,0.0,25.0,3.7,24.25,Paid
BIL0000105,3192-NQECA,2026-06,2026-06-01,2026-06-16,110.0,50.0,0.0,28.8,188.8,Paid
BIL0000106,6180-YBIQI,2026-06,2026-06-01,2026-06-16,24.3,0.0,0.0,4.37,28.67,Pending
BIL0000107,6728-DKUCO,2026-06,2026-06-01,2026-06-16,104.15,0.0,50.0,9.75,63.9,Paid
BIL0000108,9750-BOOHV,2026-06,2026-06-01,2026-06-16,30.15,0.0,0.0,5.43,35.58,Paid
BIL0000109,8597-CWYHH,2026-06,2026-06-01,2026-06-16,94.35,0.0,50.0,7.98,52.33,Paid
BIL0000110,2848-YXSMW,2026-06,2026-06-01,2026-06-16,19.4,0.0,0.0,3.49,22.89,Paid
BIL0000111,0486-HECZI,2026-06,2026-06-01,2026-06-16,96.75,100.0,0.0,35.41,232.16,Paid
BIL0000112,4549-ZDQYY,2026-06,2026-06-01,2026-06-16,57.95,0.0,0.0,10.43,68.38,Paid
BIL0000113,5712-AHQNN,2026-06,2026-06-01,2026-06-16,91.65,50.0,0.0,25.5,167.15,Paid
BIL0000114,4846-WHAFZ,2026-06,2026-06-01,2026-06-16,76.5,0.0,0.0,13.77,90.27,Paid
BIL0000115,5256-SKJGO,2026-06,2026-06-01,2026-06-16,54.6,150.0,50.0,27.83,182.43,Pending
BIL0000116,3071-VBYPO,2026-06,2026-06-01,2026-06-16,89.85,100.0,0.0,34.17,224.02,Paid
BIL0000117,9560-BBZXK,2026-06,2026-06-01,2026-06-16,31.05,0.0,50.0,0.0,0.0,Paid
BIL0000118,5299-RULOA,2026-06,2026-06-01,2026-06-16,100.25,0.0,50.0,9.04,59.29,Overdue
BIL0000119,8402-OOOHJ,2026-06,2026-06-01,2026-06-16,20.65,150.0,25.0,26.22,171.87,Paid
BIL0000120,9445-ZUEQE,2026-06,2026-06-01,2026-06-16,85.2,100.0,25.0,28.84,189.04,Paid
BIL0000121,1091-SOZGA,2026-06,2026-06-01,2026-06-16,99.8,100.0,0.0,35.96,235.76,Pending
BIL0000122,2928-HLDBA,2026-06,2026-06-01,2026-06-16,20.7,100.0,0.0,21.73,142.43,Paid
BIL0000123,0404-SWRVG,2026-06,2026-06-01,2026-06-16,74.4,100.0,0.0,31.39,205.79,Paid
BIL0000124,6497-TILVL,2026-06,2026-06-01,2026-06-16,50.7,100.0,25.0,22.63,148.33,Paid
BIL0000125,7219-TLZHO,2026-06,2026-06-01,2026-06-16,20.85,150.0,0.0,30.75,201.6,Paid
BIL0000126,4622-YNKIJ,2026-06,2026-06-01,2026-06-16,88.95,150.0,0.0,43.01,281.96,Paid
BIL0000127,4412-YLTKF,2026-06,2026-06-01,2026-06-16,78.05,100.0,25.0,27.55,180.6,Paid
BIL0000128,6734-PSBAW,2026-06,2026-06-01,2026-06-16,23.55,0.0,0.0,4.24,27.79,Paid
BIL0000129,3930-ZGWVE,2026-06,2026-06-01,2026-06-16,19.75,0.0,0.0,3.55,23.3,Paid
BIL0000130,2639-UGMAZ,2026-06,2026-06-01,2026-06-16,56.45,50.0,25.0,14.66,96.11,Paid
BIL0000131,2876-GZYZC,2026-06,2026-06-01,2026-06-16,85.95,50.0,0.0,24.47,160.42,Paid
BIL0000132,6207-WIOLX,2026-06,2026-06-01,2026-06-16,58.6,150.0,50.0,28.55,187.15,Paid
BIL0000133,8587-XYZSF,2026-06,2026-06-01,2026-06-16,50.55,0.0,0.0,9.1,59.65,Paid
BIL0000134,3091-FYHKI,2026-06,2026-06-01,2026-06-16,35.45,150.0,25.0,28.88,189.33,Paid
BIL0000135,2372-HWUHI,2026-06,2026-06-01,2026-06-16,44.35,50.0,0.0,16.98,111.33,Paid
BIL0000136,7799-LGRDP,2026-06,2026-06-01,2026-06-16,25.7,0.0,0.0,4.63,30.33,Paid
BIL0000137,7850-VWJUU,2026-06,2026-06-01,2026-06-16,75.0,150.0,50.0,31.5,206.5,Paid
BIL0000138,3774-VBNXY,2026-06,2026-06-01,2026-06-16,20.2,50.0,0.0,12.64,82.84,Paid
BIL0000139,6217-KDYWC,2026-06,2026-06-01,2026-06-16,19.6,0.0,50.0,0.0,0.0,Paid
BIL0000140,0390-DCFDQ,2026-06,2026-06-01,2026-06-16,70.45,50.0,50.0,12.68,83.13,Paid
BIL0000141,3146-MSEGF,2026-06,2026-06-01,2026-06-16,88.05,0.0,50.0,6.85,44.9,Paid
BIL0000142,4080-OGPJL,2026-06,2026-06-01,2026-06-16,71.15,50.0,50.0,12.81,83.96,Overdue
BIL0000143,1095-WGNGG,2026-06,2026-06-01,2026-06-16,101.05,100.0,0.0,36.19,237.24,Paid
BIL0000144,2636-SJDOU,2026-06,2026-06-01,2026-06-16,84.3,0.0,0.0,15.17,99.47,Paid
BIL0000145,1131-QQZEB,2026-06,2026-06-01,2026-06-16,23.95,50.0,50.0,4.31,28.26,Paid
BIL0000146,5716-EZXZN,2026-06,2026-06-01,2026-06-16,99.05,150.0,50.0,35.83,234.88,Paid
BIL0000147,6837-BJYDQ,2026-06,2026-06-01,2026-06-16,19.6,0.0,50.0,0.0,0.0,Paid
BIL0000148,2135-RXIHG,2026-06,2026-06-01,2026-06-16,45.65,0.0,25.0,3.72,24.37,Paid
BIL0000149,6440-DKQGE,2026-06,2026-06-01,2026-06-16,64.5,0.0,0.0,11.61,76.11,Paid
BIL0000150,3466-BYAVD,2026-06,2026-06-01,2026-06-16,69.5,100.0,50.0,21.51,141.01,Paid
BIL0000151,3780-YVMFA,2026-06,2026-06-01,2026-06-16,68.55,100.0,50.0,21.34,139.89,Paid
BIL0000152,3874-EQOEP,2026-06,2026-06-01,2026-06-16,95.0,100.0,0.0,35.1,230.1,Paid
BIL0000153,1679-JRFBR,2026-06,2026-06-01,2026-06-16,108.15,150.0,25.0,41.97,275.12,Paid
BIL0000154,9073-ZZIAY,2026-06,2026-06-01,2026-06-16,86.1,50.0,25.0,20.0,131.1,Paid
BIL0000155,3077-RSNTJ,2026-06,2026-06-01,2026-06-16,19.7,150.0,50.0,21.55,141.25,Paid
BIL0000156,6551-GNYDG,2026-06,2026-06-01,2026-06-16,80.9,0.0,0.0,14.56,95.46,Paid
BIL0000157,9167-APMXZ,2026-06,2026-06-01,2026-06-16,84.15,50.0,0.0,24.15,158.3,Paid
BIL0000158,2749-CTKAJ,2026-06,2026-06-01,2026-06-16,20.15,150.0,25.0,26.13,171.28,Overdue
BIL0000159,6371-NZYEG,2026-06,2026-06-01,2026-06-16,64.25,100.0,50.0,20.56,134.81,Paid
BIL0000160,7554-NEWDD,2026-06,2026-06-01,2026-06-16,25.7,150.0,25.0,27.13,177.83,Paid
BIL0000161,8992-VONJD,2026-06,2026-06-01,2026-06-16,56.0,0.0,0.0,10.08,66.08,Pending
BIL0000162,0867-MKZVY,2026-06,2026-06-01,2026-06-16,82.4,0.0,0.0,14.83,97.23,Paid
BIL0000163,4482-EWFMI,2026-06,2026-06-01,2026-06-16,69.7,0.0,50.0,3.55,23.25,Paid
BIL0000164,4648-YPBTM,2026-06,2026-06-01,2026-06-16,73.9,0.0,50.0,4.3,28.2,Paid
BIL0000165,2907-ILJBN,2026-06,2026-06-01,2026-06-16,20.6,50.0,0.0,12.71,83.31,Pending
BIL0000166,6345-FZOQH,2026-06,2026-06-01,2026-06-16,19.9,150.0,0.0,30.58,200.48,Paid
BIL0000167,3376-BMGFE,2026-06,2026-06-01,2026-06-16,70.9,150.0,0.0,39.76,260.66,Paid
BIL0000168,5997-OPVFA,2026-06,2026-06-01,2026-06-16,89.05,50.0,25.0,20.53,134.58,Paid
BIL0000169,3445-HXXGF,2026-06,2026-06-01,2026-06-16,45.3,0.0,25.0,3.65,23.95,Pending
BIL0000170,1159-WFSGR,2026-06,2026-06-01,2026-06-16,20.4,150.0,0.0,30.67,201.07,Paid
BIL0000171,7654-YWJUF,2026-06,2026-06-01,2026-06-16,84.25,0.0,50.0,6.17,40.42,Paid
BIL0000172,1875-QIVME,2026-06,2026-06-01,2026-06-16,104.4,0.0,50.0,9.79,64.19,Paid
BIL0000173,6727-IOTLZ,2026-06,2026-06-01,2026-06-16,81.95,50.0,0.0,23.75,155.7,Paid
BIL0000174,0691-JVSYA,2026-06,2026-06-01,2026-06-16,94.85,0.0,50.0,8.07,52.92,Paid
BIL0000175,5918-VUKWP,2026-06,2026-06-01,2026-06-16,20.55,150.0,0.0,30.7,201.25,Paid
BIL0000176,1744-JHKYS,2026-06,2026-06-01,2026-06-16,24.7,0.0,50.0,0.0,0.0,Overdue
BIL0000177,2656-FMOKZ,2026-06,2026-06-01,2026-06-16,74.45,0.0,0.0,13.4,87.85,Paid
BIL0000178,2070-FNEXE,2026-06,2026-06-01,2026-06-16,76.45,0.0,0.0,13.76,90.21,Paid
BIL0000179,5947-SGKCL,2026-06,2026-06-01,2026-06-16,105.35,0.0,0.0,18.96,124.31,Paid
BIL0000180,3712-PKXZA,2026-06,2026-06-01,2026-06-16,20.55,50.0,50.0,3.7,24.25,Paid
BIL0000181,6317-YPKDH,2026-06,2026-06-01,2026-06-16,29.95,0.0,0.0,5.39,35.34,Paid
BIL0000182,6582-OIVSP,2026-06,2026-06-01,2026-06-16,45.3,0.0,0.0,8.15,53.45,Paid
BIL0000183,9367-WXLCH,2026-06,2026-06-01,2026-06-16,84.5,50.0,50.0,15.21,99.71,Paid
BIL0000184,5524-KHNJP,2026-06,2026-06-01,2026-06-16,74.75,50.0,50.0,13.46,88.21,Paid
BIL0000185,1918-ZBFQJ,2026-06,2026-06-01,2026-06-16,79.25,0.0,25.0,9.76,64.01,Paid
BIL0000186,1024-GUALD,2026-06,2026-06-01,2026-06-16,24.8,0.0,50.0,0.0,0.0,Paid
BIL0000187,4827-USJHP,2026-06,2026-06-01,2026-06-16,51.8,0.0,0.0,9.32,61.12,Paid
BIL0000188,8167-GJLRN,2026-06,2026-06-01,2026-06-16,30.4,100.0,0.0,23.47,153.87,Paid
BIL0000189,0956-SYCWG,2026-06,2026-06-01,2026-06-16,19.65,0.0,50.0,0.0,0.0,Paid
BIL0000190,8017-UVSZU,2026-06,2026-06-01,2026-06-16,56.6,0.0,25.0,5.69,37.29,Paid
BIL0000191,7100-FQPRV,2026-06,2026-06-01,2026-06-16,71.9,0.0,0.0,12.94,84.84,Paid
BIL0000192,2472-OVKUP,2026-06,2026-06-01,2026-06-16,91.0,100.0,0.0,34.38,225.38,Paid
BIL0000193,2984-RGEYA,2026-06,2026-06-01,2026-06-16,19.75,50.0,25.0,8.05,52.8,Pending
BIL0000194,9680-NIAUV,2026-06,2026-06-01,2026-06-16,109.7,0.0,50.0,10.75,70.45,Paid
BIL0000195,2146-EGVDT,2026-06,2026-06-01,2026-06-16,19.3,0.0,50.0,0.0,0.0,Paid
BIL0000196,2604-IJPDU,2026-06,2026-06-01,2026-06-16,96.55,100.0,0.0,35.38,231.93,Paid
BIL0000197,9178-JHUVJ,2026-06,2026-06-01,2026-06-16,24.1,0.0,25.0,0.0,0.0,Paid
BIL0000198,6168-YBYNP,2026-06,2026-06-01,2026-06-16,111.35,150.0,25.0,42.54,278.89,Paid
BIL0000199,7255-SSFBC,2026-06,2026-06-01,2026-06-16,112.25,100.0,0.0,38.2,250.45,Paid
BIL0000200,3645-DEYGF,2026-06,2026-06-01,2026-06-16,20.75,150.0,25.0,26.23,171.98,Paid
BIL0000201,9323-HGFWY,2026-06,2026-06-01,2026-06-16,101.9,150.0,0.0,45.34,297.24,Paid
BIL0000202,8544-GOQSH,2026-06,2026-06-01,2026-06-16,80.05,100.0,0.0,32.41,212.46,Paid
BIL0000203,3363-DTIVD,2026-06,2026-06-01,2026-06-16,105.55,0.0,25.0,14.5,95.05,Paid
BIL0000204,7018-WBJNK,2026-06,2026-06-01,2026-06-16,78.3,150.0,0.0,41.09,269.39,Paid
BIL0000205,9142-KZXOP,2026-06,2026-06-01,2026-06-16,68.85,150.0,50.0,30.39,199.24,Paid
BIL0000206,7674-YTAFD,2026-06,2026-06-01,2026-06-16,79.95,0.0,0.0,14.39,94.34,Paid
BIL0000207,6348-SNFUS,2026-06,2026-06-01,2026-06-16,55.45,50.0,50.0,9.98,65.43,Paid
BIL0000208,1285-OKIPP,2026-06,2026-06-01,2026-06-16,79.9,150.0,0.0,41.38,271.28,Paid
BIL0000209,7825-ECJRF,2026-06,2026-06-01,2026-06-16,106.6,100.0,50.0,28.19,184.79,Paid
BIL0000210,1347-KTTTA,2026-06,2026-06-01,2026-06-16,102.45,0.0,50.0,9.44,61.89,Paid
BIL0000211,7841-TZDMQ,2026-06,2026-06-01,2026-06-16,46.0,50.0,0.0,17.28,113.28,Paid
BIL0000212,4195-NZGTA,2026-06,2026-06-01,2026-06-16,25.25,0.0,25.0,0.04,0.29,Paid
BIL0000213,7157-SMCFK,2026-06,2026-06-01,2026-06-16,19.75,0.0,0.0,3.55,23.3,Pending
BIL0000214,4709-LKHYG,2026-06,2026-06-01,2026-06-16,20.0,100.0,50.0,12.6,82.6,Paid
BIL0000215,2504-DSHIH,2026-06,2026-06-01,2026-06-16,86.8,0.0,50.0,6.62,43.42,Paid
BIL0000216,0699-NDKJM,2026-06,2026-06-01,2026-06-16,58.75,150.0,0.0,37.57,246.32,Paid
BIL0000217,9286-BHDQG,2026-06,2026-06-01,2026-06-16,45.25,100.0,0.0,26.14,171.39,Paid
BIL0000218,0230-WEQUW,2026-06,2026-06-01,2026-06-16,56.6,50.0,25.0,14.69,96.29,Paid
BIL0000219,2040-LDIWQ,2026-06,2026-06-01,2026-06-16,84.2,0.0,0.0,15.16,99.36,Paid
BIL0000220,6496-JDSSB,2026-06,2026-06-01,2026-06-16,80.0,0.0,50.0,5.4,35.4,Paid
BIL0000221,9408-SSNVZ,2026-06,2026-06-01,2026-06-16,70.15,100.0,25.0,26.13,171.28,Overdue
BIL0000222,4443-EMBNA,2026-06,2026-06-01,2026-06-16,24.75,0.0,50.0,0.0,0.0,Paid
BIL0000223,6469-MRVET,2026-06,2026-06-01,2026-06-16,20.2,50.0,0.0,12.64,82.84,Paid
BIL0000224,0742-MOABM,2026-06,2026-06-01,2026-06-16,50.05,0.0,50.0,0.01,0.06,Paid
BIL0000225,5961-VUSRV,2026-06,2026-06-01,2026-06-16,19.35,0.0,0.0,3.48,22.83,Paid
BIL0000226,6778-JFCMK,2026-06,2026-06-01,2026-06-16,50.6,0.0,50.0,0.11,0.71,Paid
BIL0000227,6341-JVQGF,2026-06,2026-06-01,2026-06-16,81.15,150.0,0.0,41.61,272.76,Paid
BIL0000228,2232-DMLXU,2026-06,2026-06-01,2026-06-16,55.2,100.0,25.0,23.44,153.64,Paid
BIL0000229,4811-JBUVU,2026-06,2026-06-01,2026-06-16,89.9,50.0,0.0,25.18,165.08,Paid
BIL0000230,0945-TSONX,2026-06,2026-06-01,2026-06-16,85.3,150.0,25.0,37.85,248.15,Pending
BIL0000231,2651-ZCBXV,2026-06,2026-06-01,2026-06-16,108.0,100.0,50.0,28.44,186.44,Paid
BIL0000232,3316-UWXUY,2026-06,2026-06-01,2026-06-16,93.5,50.0,0.0,25.83,169.33,Pending
BIL0000233,8937-RDTHP,2026-06,2026-06-01,2026-06-16,84.6,0.0,0.0,15.23,99.83,Paid
BIL0000234,7083-MIOPC,2026-06,2026-06-01,2026-06-16,20.25,0.0,0.0,3.65,23.9,Paid
