usage_id,customer_id,usage_date,tower_id,voice_minutes,data_usage_mb,data_usage_gb,sms_count,is_roaming
USG00000029,9278-VZKCD,2026-08-31,TWR00079,177,3877.51,3.787,8,False
USG00000030,3209-ZPKFI,2026-08-31,TWR00034,112,1760.58,1.719,20,False
USG00000031,5996-NRVXR,2026-08-31,TWR00061,145,3087.35,3.015,21,False
USG00000032,7587-AOVVU,2026-08-31,TWR00059,57,204.19,0.199,16,False
USG00000033,0488-GSLFR,2026-08-31,TWR00054,25,3124.0,3.051,4,False
USG00000034,0188-GWFLE,2026-08-31,TWR00070,113,3683.76,3.597,5,False
USG00000035,8984-EYLLL,2026-08-31,TWR00023,141,3557.56,3.474,10,False
USG00000036,8894-JVDCV,2026-08-31,TWR00090,151,101.84,0.099,7,False
USG00000037,6904-JLBGY,2026-08-31,TWR00091,100,985.59,0.962,16,True
USG00000038,3569-JFODW,2026-08-31,TWR00046,47,2424.13,2.367,1,False
USG00000039,9283-LZQOH,2026-08-31,TWR00057,162,3131.27,3.058,21,False
USG00000040,6537-OTKMY,2026-08-31,TWR00038,24,2303.51,2.25,16,False
USG00000041,1663-MHLHE,2026-08-31,TWR00036,163,3943.11,3.851,6,False
USG00000042,0409-WTMPL,2026-08-31,TWR00010,163,3997.67,3.904,9,False
USG00000043,6202-DYYFX,2026-08-31,TWR00033,83,4032.05,3.938,20,False
USG00000044,7113-HIPFI,2026-08-31,TWR00084,136,2363.56,2.308,23,False
USG00000045,3186-AJIEK,2026-08-31,TWR00043,119,1158.16,1.131,0,False
USG00000046,7268-WNTCP,2026-08-31,TWR00041,63,4042.08,3.947,15,False
USG00000047,3345-PBBFH,2026-08-31,TWR00066,109,4369.34,4.267,9,False
USG00000048,7795-CFOCW,2026-08-31,TWR00061,11,2661.51,2.599,25,False
USG00000049,4525-VZCZG,2026-08-31,TWR00100,106,1010.63,0.987,22,False
USG00000050,8224-UAXBZ,2026-08-31,TWR00008,59,2373.79,2.318,19,False
USG00000051,3612-YVGSJ,2026-08-31,TWR00015,101,1506.68,1.471,19,False
USG00000052,9715-SBVSU,2026-08-31,TWR00024,84,3768.21,3.68,0,True
USG00000053,9986-BONCE,2026-08-31,TWR00001,72,745.34,0.728,7,True
USG00000054,1685-BQULA,2026-08-31,TWR00029,115,1248.88,1.22,15,False
USG00000055,6654-QGBZZ,2026-08-31,TWR00093,26,342.69,0.335,16,False
USG00000056,3373-YZZYM,2026-08-31,TWR00078,116,715.13,0.698,7,False
USG00000057,1205-WNWPJ,2026-08-31,TWR00002,127,1740.45,1.7,16,False
USG00000058,3655-SNQYZ,2026-08-31,TWR00056,157,701.96,0.686,3,False
USG00000059,7716-YTYHG,2026-08-31,TWR00044,103,1299.28,1.269,8,False
USG00000060,7025-IWFHT,2026-08-31,TWR00075,127,661.6,0.646,25,False
USG00000061,3943-KDREE,2026-08-31,TWR00022,176,2271.98,2.219,8,False
USG00000062,4194-WHFCB,2026-08-31,TWR00070,40,3584.57,3.501,3,False
USG00000063,6680-WKXRZ,2026-08-31,TWR00094,70,2675.98,2.613,8,False
USG00000064,3349-ANQNH,2026-08-31,TWR00058,74,1521.58,1.486,19,False
USG00000065,6725-TPKJO,2026-08-31,TWR00012,113,2498.48,2.44,20,False
USG00000066,6941-KXRRV,2026-08-31,TWR00063,29,2832.62,2.766,22,False
USG00000067,4393-RYCRE,2026-08-31,TWR00062,106,3279.67,3.203,14,False
USG00000068,0599-XNYDO,2026-08-31,TWR00059,130,1629.43,1.591,2,False
USG00000069,0971-QIFJK,2026-08-31,TWR00007,160,1366.09,1.334,6,False
USG00000070,1468-DEFNC,2026-08-31,TWR00039,5,2126.1,2.076,3,False
USG00000071,5161-XEUVX,2026-08-31,TWR00042,23,4402.7,4.3,3,False
USG00000072,7399-QHBJS,2026-08-31,TWR00016,178,2983.49,2.914,15,False
USG00000073,2634-HCZGT,2026-08-31,TWR00099,163,3987.82,3.894,11,False
USG00000074,4415-WNGVR,2026-08-31,TWR00046,145,675.67,0.66,25,False
USG00000075,5868-YTYKS,2026-08-31,TWR00060,53,2373.18,2.318,16,False
USG00000076,7480-QNVZJ,2026-08-31,TWR00009,17,2453.42,2.396,24,False
USG00000077,5882-CMAZQ,2026-08-31,TWR00032,43,3560.44,3.477,2,False
USG00000078,9069-LGEUL,2026-08-31,TWR00047,10,918.83,0.897,12,False
USG00000079,4211-MMAZN,2026-08-31,TWR00077,44,1666.72,1.628,2,False
USG00000080,3985-HOYPM,2026-08-31,TWR00040,123,1176.0,1.148,13,False
USG00000081,4851-BQDNX,2026-08-31,TWR00024,51,326.67,0.319,19,False
USG00000082,0822-GAVAP,2026-08-31,TWR00057,5,4275.94,4.176,21,False
USG00000083,3211-AAPKX,2026-08-31,TWR00037,142,1429.31,1.396,16,False
USG00000084,4450-MDZFX,2026-08-31,TWR00060,35,1167.03,1.14,19,True
USG00000085,4472-LVYGI,2026-08-31,TWR00035,2,2889.54,2.822,12,True
USG00000086,0709-TVGUR,2026-08-31,TWR00037,159,4199.62,4.101,16,False
USG00000087,8242-SOQUO,2026-08-31,TWR00005,118,3916.89,3.825,1,False
USG00000088,7191-ADRGF,2026-08-31,TWR00087,37,3713.37,3.626,24,False
USG00000089,4884-LEVMQ,2026-08-31,TWR00089,90,3658.35,3.573,16,False
USG00000090,9618-LFJRU,2026-08-31,TWR00035,121,1645.55,1.607,17,False
USG00000091,8017-UVSZU,2026-08-31,TWR00071,140,4098.56,4.003,25,False
USG00000092,5392-AKEMH,2026-08-31,TWR00046,168,483.26,0.472,12,False
USG00000093,5966-EMAZU,2026-08-31,TWR00018,1,967.64,0.945,20,False
USG00000094,2522-WLNSF,2026-08-31,TWR00030,111,2958.88,2.89,4,True
USG00000095,4635-EJYPD,2026-08-31,TWR00067,116,3453.72,3.373,6,False
USG00000096,0196-JTUQI,2026-08-31,TWR00036,54,3488.23,3.406,17,False
USG00000097,0442-TDYUO,2026-08-31,TWR00047,132,1405.25,1.372,17,False
USG00000098,0280-XJGEX,2026-08-31,TWR00075,84,3502.99,3.421,1,False
USG00000099,4273-MBHYA,2026-08-31,TWR00088,16,963.18,0.941,23,False
USG00000100,1792-UXAFY,2026-08-31,TWR00033,106,4136.74,4.04,1,False
USG00000101,8985-OOPOS,2026-08-31,TWR00061,99,1310.75,1.28,17,False
USG00000102,0872-JCPIB,2026-08-31,TWR00018,15,951.64,0.929,10,False
USG00000103,5692-FPTAH,2026-08-31,TWR00082,158,576.78,0.563,2,False
USG00000104,9919-FZDED,2026-08-31,TWR00058,54,3094.56,3.022,4,False
USG00000105,6522-YRBXD,2026-08-31,TWR00094,82,2487.08,2.429,25,False
USG00000106,6474-FVJLC,2026-08-31,TWR00044,25,1182.55,1.155,20,True
USG00000107,1905-OEILC,2026-08-31,TWR00048,91,1413.76,1.381,1,True
USG00000108,6583-KQJLK,2026-08-31,TWR00023,52,4260.62,4.161,23,False
USG00000109,5397-TUPSH,2026-08-31,TWR00071,176,3958.11,3.865,10,False
USG00000110,6156-UZDLF,2026-08-31,TWR00046,165,3013.44,2.943,12,False
USG00000111,3803-KMQFW,2026-08-31,TWR00024,50,211.25,0.206,8,False
USG00000112,6082-GLJIX,2026-08-31,TWR00046,28,2475.08,2.417,7,False
USG00000113,2720-FVBQP,2026-08-31,TWR00083,160,3333.1,3.255,10,False
USG00000114,5186-SAMNZ,2026-08-31,TWR00013,73,3418.02,3.338,4,False
USG00000115,9927-DSWDF,2026-08-31,TWR00008,136,2223.81,2.172,18,True
USG00000116,9979-RGMZT,2026-08-31,TWR00093,146,1264.16,1.235,2,False
USG00000117,5696-QURRL,2026-08-31,TWR00028,153,2793.97,2.728,12,False
USG00000118,1915-IOFGU,2026-08-31,TWR00070,39,2148.49,2.098,0,False
USG00000119,1459-QNFQT,2026-08-31,TWR00055,86,1379.38,1.347,1,False
USG00000120,4013-TLDHQ,2026-08-31,TWR00023,175,1021.65,0.998,1,False
USG00000121,5312-UXESG,2026-08-31,TWR00006,123,739.1,0.722,8,False
USG00000122,4578-PHJYZ,2026-08-31,TWR00022,177,1588.4,1.551,9,False
USG00000123,4634-JLRJT,2026-08-31,TWR00005,154,100.98,0.099,0,True
USG00000124,8898-KASCD,2026-08-31,TWR00009,54,1689.29,1.65,19,True
USG00000125,2176-OSJUV,2026-08-31,TWR00018,22,1637.28,1.599,4,False
USG00000126,5093-FEGLU,2026-08-31,TWR00015,49,3871.81,3.781,12,False
USG00000127,5071-FBJFS,2026-08-31,TWR00003,112,1743.38,1.703,3,False
USG00000128,6840-RESVB,2026-08-31,TWR00018,155,1873.1,1.829,2,False
USG00000129,6996-KNSML,2026-08-31,TWR00045,9,2571.95,2.512,5,False
USG00000130,0363-SVHYR,2026-08-31,TWR00061,62,4104.5,4.008,13,False
USG00000131,4512-ZUIYL,2026-08-31,TWR00096,89,1914.78,1.87,17,False
USG00000132,2990-IAJSV,2026-08-31,TWR00046,106,3187.76,3.113,10,False
USG00000133,9851-KIELU,2026-08-31,TWR00038,131,1705.43,1.665,0,False
USG00000134,4671-LXRDQ,2026-08-31,TWR00035,144,1942.69,1.897,6,False
USG00000135,7998-WNZEM,2026-08-31,TWR00045,57,121.69,0.119,20,False
USG00000136,6388-TABGU,2026-08-31,TWR00089,142,380.44,0.372,13,False
USG00000137,8806-EAGWC,2026-08-31,TWR00029,52,1451.05,1.417,5,False
USG00000138,5095-AESKG,2026-08-31,TWR00048,153,2380.89,2.325,24,False
USG00000139,5125-CNDSP,2026-08-31,TWR00099,136,2582.75,2.522,4,True
USG00000140,7361-YPXFS,2026-08-31,TWR00037,100,2242.79,2.19,3,False
USG00000141,1564-NTYXF,2026-08-31,TWR00019,10,3002.29,2.932,14,False
USG00000142,1545-JFUML,2026-08-31,TWR00024,87,2989.78,2.92,12,False
USG00000143,2207-OBZNX,2026-08-31,TWR00055,58,1239.94,1.211,5,False
USG00000144,5944-UGLLK,2026-08-31,TWR00082,42,4257.31,4.158,14,False
USG00000145,8963-MQVYN,2026-08-31,TWR00011,110,3990.54,3.897,5,False
USG00000146,4912-PIGUY,2026-08-31,TWR00050,99,856.69,0.837,9,False
USG00000147,6259-WJQLC,2026-08-31,TWR00085,19,398.48,0.389,11,False
USG00000148,2724-FJDYW,2026-08-31,TWR00017,98,3705.4,3.619,10,False
USG00000149,2180-DXNEG,2026-08-31,TWR00014,42,1717.76,1.677,25,False
USG00000150,1324-NLTJE,2026-08-31,TWR00020,23,1706.42,1.666,22,False
USG00000151,3039-MJSLN,2026-08-31,TWR00020,132,4421.12,4.317,18,False
USG00000152,2270-CHBFN,2026-08-31,TWR00054,138,335.02,0.327,7,False
USG00000153,5049-GLYVG,2026-08-31,TWR00014,130,1525.21,1.489,23,False
USG00000154,2120-SMPEX,2026-08-31,TWR00044,115,4378.24,4.276,17,False
USG00000155,0475-RIJEP,2026-08-31,TWR00045,169,4369.81,4.267,5,False
USG00000156,0237-YFUTL,2026-08-31,TWR00087,23,1174.64,1.147,1,False
USG00000157,5067-XJQFU,2026-08-31,TWR00076,62,2190.82,2.139,24,False
USG00000158,2480-SQIOB,2026-08-31,TWR00062,22,3386.67,3.307,2,False
USG00000159,2737-WFVYW,2026-08-31,TWR00033,18,2340.73,2.286,17,False
USG00000160,6726-WEXXK,2026-08-31,TWR00036,61,1472.44,1.438,3,False
USG00000161,4999-IEZLT,2026-08-31,TWR00061,12,4109.63,4.013,18,False
USG00000162,8565-CLBZW,2026-08-31,TWR00007,173,2944.2,2.875,14,False
USG00000163,2208-NKVVH,2026-08-31,TWR00005,173,1919.09,1.874,24,False
USG00000164,6674-KVJHG,2026-08-31,TWR00085,41,3412.04,3.332,23,False
USG00000165,5708-EVONK,2026-08-31,TWR00094,30,1509.92,1.475,8,False
USG00000166,3569-EDBPQ,2026-08-31,TWR00044,175,937.55,0.916,7,False
USG00000167,7698-YFGEZ,2026-08-31,TWR00058,99,156.97,0.153,7,False
USG00000168,0848-ZGQIJ,2026-08-31,TWR00018,148,3516.06,3.434,1,False
USG00000169,4706-AXVKM,2026-08-31,TWR00004,87,4229.48,4.13,11,False
USG00000170,7416-CKTEP,2026-08-31,TWR00077,35,3265.3,3.189,20,False
USG00000171,1453-RZFON,2026-08-31,TWR00096,45,2628.78,2.567,2,False
USG00000172,7396-VJUZB,2026-08-31,TWR00023,122,1409.76,1.377,25,False
USG00000173,2068-WWXQZ,2026-08-31,TWR00098,105,1421.85,1.389,17,False
USG00000174,3585-YNADK,2026-08-31,TWR00100,93,1213.36,1.185,21,False
USG00000175,7672-VFMXZ,2026-08-31,TWR00062,144,766.25,0.748,24,False
USG00000176,9578-VRMNM,2026-08-31,TWR00082,93,3438.66,3.358,22,False
USG00000177,8229-TNIQA,2026-08-31,TWR00028,62,3722.77,3.636,9,False
USG00000178,0187-WZNAB,2026-08-31,TWR00072,92,3722.4,3.635,18,False
USG00000179,9415-ZNBSX,2026-08-31,TWR00017,17,560.0,0.547,4,False
USG00000180,7249-WBIYX,2026-08-31,TWR00052,149,2854.4,2.788,12,False
USG00000181,3621-CHYVB,2026-08-31,TWR00026,68,357.2,0.349,10,False
USG00000182,0936-NQLJU,2026-08-31,TWR00087,167,3144.04,3.07,19,False
USG00000183,7112-OPOTK,2026-08-31,TWR00058,153,3377.17,3.298,25,False
USG00000184,2834-SPCJV,2026-08-31,TWR00038,95,3851.8,3.762,17,False
USG00000185,4452-ROHMO,2026-08-31,TWR00082,34,116.65,0.114,19,False
USG00000186,3904-UKFRE,2026-08-31,TWR00084,106,3071.63,3.0,1,False
USG00000187,0396-UKGAI,2026-08-31,TWR00074,19,4395.52,4.293,13,False
USG00000188,3842-IYKUE,2026-08-31,TWR00001,90,1437.91,1.404,19,False
USG00000189,3258-ZKPAI,2026-08-31,TWR00095,180,2976.69,2.907,3,False
USG00000190,4056-QHXHZ,2026-08-31,TWR00018,98,3630.23,3.545,13,False
USG00000191,3186-BAXNB,2026-08-31,TWR00082,171,1421.16,1.388,24,False
USG00000192,0687-ZVTHB,2026-08-31,TWR00046,39,3240.91,3.165,14,False
USG00000193,3744-ZBHON,2026-08-31,TWR00001,153,4415.69,4.312,17,True
USG00000194,0376-OIWME,2026-08-31,TWR00017,20,3184.66,3.11,12,False
USG00000195,7401-JIXNM,2026-08-31,TWR00064,136,1946.38,1.901,14,False
USG00000196,0212-ISBBF,2026-08-31,TWR00002,36,666.07,0.65,25,False
USG00000197,6479-VDGRK,2026-08-31,TWR00071,41,1117.46,1.091,5,False
USG00000198,9028-LIHRP,2026-08-31,TWR00071,145,1918.1,1.873,3,False
USG00000199,8464-EETCQ,2026-08-31,TWR00086,4,2359.02,2.304,7,False
USG00000200,2675-OTVVJ,2026-08-31,TWR00077,115,4310.08,4.209,13,False
USG00000201,9575-IWCAZ,2026-08-31,TWR00074,109,1828.47,1.786,13,False
USG00000202,0516-WJVXC,2026-08-31,TWR00095,88,1337.88,1.307,16,False
USG00000203,2081-VEYEH,2026-08-31,TWR00004,81,320.53,0.313,6,False
USG00000204,7208-PSIHR,2026-08-31,TWR00070,125,1782.24,1.74,19,False
USG00000205,6559-PDZLR,2026-08-31,TWR00038,58,492.89,0.481,14,False
USG00000206,6108-OQZDQ,2026-08-31,TWR00014,18,2427.68,2.371,21,False
USG00000207,5073-RZGBK,2026-08-31,TWR00021,153,1136.92,1.11,14,False
USG00000208,3407-QGWLG,2026-08-31,TWR00007,154,2103.13,2.054,8,False
USG00000209,3452-FLHYD,2026-08-31,TWR00073,94,2940.76,2.872,4,False
USG00000210,7064-JHXCE,2026-08-31,TWR00042,169,4216.84,4.118,19,False
USG00000211,6986-IXNDM,2026-08-31,TWR00021,172,789.85,0.771,1,False
USG00000212,0220-EBGCE,2026-08-31,TWR00034,47,500.75,0.489,17,False
USG00000213,3090-HAWSU,2026-08-31,TWR00065,44,446.4,0.436,9,False
USG00000214,0230-WEQUW,2026-08-31,TWR00052,9,574.79,0.561,6,False
USG00000215,9488-FYQAU,2026-08-31,TWR00097,97,2353.72,2.299,16,False
USG00000216,7252-NTGSS,2026-08-31,TWR00063,121,4248.0,4.148,12,False
USG00000217,1047-NNCBF,2026-08-31,TWR00058,166,2558.92,2.499,4,False
USG00000218,1557-EMYVT,2026-08-31,TWR00024,78,538.96,0.526,25,False
USG00000219,6374-AFWOX,2026-08-31,TWR00099,128,4291.78,4.191,9,False
USG00000220,0282-NVSJS,2026-08-31,TWR00030,27,3209.06,3.134,18,False
USG00000221,4959-JOSRX,2026-08-31,TWR00005,148,454.74,0.444,1,False
USG00000222,9067-YGSCA,2026-08-31,TWR00030,147,718.81,0.702,0,False
USG00000223,6575-SUVOI,2026-08-31,TWR00026,119,3067.37,2.995,24,True
USG00000224,2612-RANWT,2026-08-31,TWR00027,150,2759.34,2.695,18,False
USG00000225,4450-YOOHP,2026-08-31,TWR00030,72,2680.58,2.618,3,False
USG00000226,4342-HENTK,2026-08-31,TWR00033,161,3518.41,3.436,15,False
USG00000227,3372-KWFBM,2026-08-31,TWR00092,3,3690.03,3.604,4,False
USG00000228,3144-AUDBS,2026-08-31,TWR00033,60,341.86,0.334,23,False
USG00000229,7594-LZNWR,2026-08-31,TWR00061,176,3222.2,3.147,12,True
USG00000230,5222-IMUKT,2026-08-31,TWR00041,14,1495.21,1.46,19,False
USG00000231,6688-UZPWD,2026-08-31,TWR00026,26,68.38,0.067,4,True
USG00000232,8138-EALND,2026-08-31,TWR00084,74,1560.62,1.524,24,False
USG00000233,2220-IAHLS,2026-08-31,TWR00056,140,4368.84,4.266,24,False
USG00000234,5575-TPIZQ,2026-08-31,TWR00084,77,296.76,0.29,19,False
USG00000235,8220-OCUFY,2026-08-31,TWR00070,112,469.42,0.458,16,False
USG00000236,8563-IIOXK,2026-08-31,TWR00037,82,2931.8,2.863,14,False
USG00000237,9481-IEBZY,2026-08-31,TWR00053,151,1883.1,1.839,20,False
USG00000238,6166-ILMNY,2026-08-31,TWR00042,10,80.2,0.078,2,False
USG00000239,3509-GWQGF,2026-08-31,TWR00095,88,3953.9,3.861,2,False
USG00000240,8706-HRADD,2026-08-31,TWR00031,17,3390.47,3.311,4,False
USG00000241,3276-HDUEG,2026-08-31,TWR00089,8,3257.43,3.181,0,False
USG00000242,5117-ZSMHQ,2026-08-31,TWR00003,21,2777.51,2.712,5,False
USG00000243,2282-YGNOR,2026-08-31,TWR00094,17,412.97,0.403,20,True
USG00000244,2928-HLDBA,2026-08-31,TWR00088,87,2338.96,2.284,15,True
USG00000245,8903-XEBGX,2026-08-31,TWR00056,5,3584.83,3.501,2,False
USG00000246,5480-XTFFL,2026-08-31,TWR00096,35,1618.15,1.58,3,False
USG00000247,8265-HKSOW,2026-08-31,TWR00075,133,2589.87,2.529,22,False
USG00000248,9389-ACWBI,2026-08-31,TWR00016,151,4416.31,4.313,21,False
USG00000249,7495-OOKFY,2026-08-31,TWR00088,77,3660.33,3.575,23,False
USG00000250,1254-IZEYF,2026-08-31,TWR00093,53,3631.62,3.547,17,True
USG00000251,3726-TBHQT,2026-08-31,TWR00064,96,1550.49,1.514,18,False
USG00000252,8404-VLQFB,2026-08-31,TWR00094,121,2614.74,2.553,24,False
USG00000253,0603-TPMIB,2026-08-31,TWR00030,143,2393.61,2.338,17,False
USG00000254,4256-ZWTZI,2026-08-31,TWR00045,155,4305.38,4.204,22,False
USG00000255,4090-KPJIP,2026-08-31,TWR00021,109,1699.4,1.66,3,False
USG00000256,0137-OCGAB,2026-08-31,TWR00041,0,3357.2,3.279,21,False
USG00000257,4228-ZGYUW,2026-08-31,TWR00100,144,281.65,0.275,21,False
USG00000258,7047-FWEYA,2026-08-31,TWR00031,180,3979.85,3.887,9,False
USG00000259,5442-UTCVD,2026-08-31,TWR00029,12,851.88,0.832,18,False
USG00000260,7908-QCBCA,2026-08-31,TWR00054,156,1702.07,1.662,2,True
USG00000261,4804-NCPET,2026-08-31,TWR00078,124,1134.63,1.108,25,True
USG00000262,6718-BDGHG,2026-08-31,TWR00077,95,740.53,0.723,3,False
USG00000263,6510-UPNKS,2026-08-31,TWR00001,164,2697.93,2.635,0,False
USG00000264,4139-SUGLD,2026-08-31,TWR00022,86,4232.08,4.133,8,True
USG00000265,5275-PMFUT,2026-08-31,TWR00004,164,1349.55,1.318,16,False
USG00000266,0952-KMEEH,2026-08-31,TWR00012,15,475.77,0.465,9,False
USG00000267,4465-VDKIQ,2026-08-31,TWR00057,4,3476.97,3.395,20,False
USG00000268,1930-BZLHI,2026-08-31,TWR00012,93,742.85,0.725,8,False
USG00000269,5014-GSOUQ,2026-08-31,TWR00065,20,3139.43,3.066,16,False
USG00000270,3198-VELRD,2026-08-31,TWR00093,88,3586.11,3.502,23,False
USG00000271,1764-VUUMT,2026-08-31,TWR00013,10,2420.63,2.364,6,False
USG00000272,1763-WQFUK,2026-08-31,TWR00095,29,3473.51,3.392,16,False
USG00000273,1090-PYKCI,2026-08-31,TWR00029,42,4416.12,4.313,23,True
USG00000274,4285-GYRQC,2026-08-31,TWR00057,124,1819.96,1.777,3,False
USG00000275,8996-ZROXE,2026-08-31,TWR00020,141,670.33,0.655,0,False
USG00000276,4986-MXSFP,2026-08-31,TWR00068,128,4267.89,4.168,8,False
USG00000277,7133-VBDCG,2026-08-31,TWR00059,3,2561.8,2.502,23,False
USG00000278,3847-BAERP,2026-08-31,TWR00073,106,3349.2,3.271,18,False
USG00000279,2897-DOVND,2026-08-31,TWR00011,154,942.65,0.921,9,False
USG00000280,3235-ETOOB,2026-08-31,TWR00019,158,3431.59,3.351,11,False
USG00000281,3804-RVTGV,2026-08-31,TWR00084,142,4323.32,4.222,5,False
USG00000282,9546-KDTRB,2026-08-31,TWR00045,55,2924.97,2.856,12,False
USG00000283,0617-FHSGK,2026-08-31,TWR00026,75,3000.23,2.93,20,False
USG00000284,1038-ZAGBI,2026-08-31,TWR00064,31,1234.7,1.206,21,False
USG00000285,2858-MOFSQ,2026-08-31,TWR00013,66,1012.85,0.989,13,False
USG00000286,5155-AZQPB,2026-08-31,TWR00041,134,343.2,0.335,15,False
USG00000287,3620-EHIMZ,2026-08-31,TWR00025,162,3291.89,3.215,13,False
USG00000288,9504-DSHWM,2026-08-31,TWR00002,145,1127.11,1.101,9,False
USG00000289,8106-GWQOK,2026-08-31,TWR00019,19,4169.68,4.072,20,False
USG00000290,9972-NKTFD,2026-08-31,TWR00022,142,4297.22,4.197,3,False
USG00000291,8189-XRIKE,2026-08-31,TWR00097,123,3892.46,3.801,24,False
USG00000292,1941-HOSAM,2026-08-31,TWR00008,102,2245.63,2.193,23,False
USG00000293,5294-IMHHT,2026-08-31,TWR00030,108,2310.18,2.256,22,False
USG00000294,7176-WIONM,2026-08-31,TWR00070,70,1145.04,1.118,16,False
USG00000295,1934-MKPXS,2026-08-31,TWR00011,27,1974.77,1.928,13,False
USG00000296,5600-KTXFM,2026-08-31,TWR00044,151,1885.43,1.841,13,False
USG00000297,2523-EWWZL,2026-08-31,TWR00090,26,2524.73,2.466,0,False
USG00000298,0164-APGRB,2026-08-31,TWR00015,37,3044.85,2.973,8,False
USG00000299,2369-FEVNO,2026-08-31,TWR00084,69,2880.11,2.813,0,False
USG00000300,5231-FIQPA,2026-08-31,TWR00022,68,1296.71,1.266,21,False
USG00000301,5092-STPKP,2026-08-31,TWR00040,37,1490.07,1.455,11,False
USG00000302,7488-MXJIV,2026-08-31,TWR00098,101,3557.53,3.474,8,False
USG00000303,2228-BZDEE,2026-08-31,TWR00060,81,2598.99,2.538,8,False
USG00000304,4361-FEBGN,2026-08-31,TWR00057,136,3808.65,3.719,10,False
USG00000305,3452-ABWRL,2026-08-31,TWR00076,177,2308.32,2.254,20,False
USG00000306,3316-UWXUY,2026-08-31,TWR00055,140,253.5,0.248,10,False
USG00000307,2632-IVXVF,2026-08-31,TWR00042,32,1083.12,1.058,0,False
USG00000308,6656-JWRQX,2026-08-31,TWR00034,79,3229.99,3.154,20,False
USG00000309,1725-IQNIY,2026-08-31,TWR00071,46,713.14,0.696,0,False
USG00000310,2378-VTKDH,2026-08-31,TWR00073,62,635.4,0.621,12,False
USG00000311,8735-NBLWT,2026-08-31,TWR00072,170,2203.41,2.152,22,False
USG00000312,6376-GAHQE,2026-08-31,TWR00088,136,1775.47,1.734,3,False
USG00000313,6923-JHPMP,2026-08-31,TWR00009,117,296.04,0.289,19,False
USG00000314,5889-JTMUL,2026-08-31,TWR00098,166,2461.49,2.404,16,False
USG00000315,9445-ZUEQE,2026-08-31,TWR00038,21,1123.22,1.097,13,False
USG00000316,2823-LKABH,2026-08-31,TWR00023,96,637.83,0.623,7,False
USG00000317,8364-TRMMK,2026-08-31,TWR00037,130,1870.89,1.827,17,False
USG00000318,6942-LBFDP,2026-08-31,TWR00005,169,4141.24,4.044,22,False
USG00000319,7586-ZATGZ,2026-08-31,TWR00087,175,1018.66,0.995,0,False
USG00000320,7479-NITWS,2026-08-31,TWR00051,102,3724.62,3.637,18,False
USG00000321,3863-QSTYI,2026-08-31,TWR00061,102,1758.75,1.718,3,False
USG00000322,0260-ZDLGK,2026-08-31,TWR00056,88,2027.27,1.98,21,False
USG00000323,2049-BAFNW,2026-08-31,TWR00079,155,911.61,0.89,20,False
USG00000324,0909-SELIE,2026-08-31,TWR00032,131,2751.59,2.687,2,False
