outage_id,tower_id,outage_start,outage_end,duration_minutes,severity,cause,estimated_impacted_users
OTG00019,TWR00015,2026-06-04 19:35:00,2026-06-04 20:20:00,45,Minor,Scheduled Firmware Maintenance,3024
OTG00020,TWR00042,2026-08-29 09:27:00,2026-08-29 15:27:00,360,Major,Backhaul Link Degraded,261
OTG00021,TWR00095,2026-01-18 06:55:00,2026-01-18 12:55:00,360,Minor,Fiber Cut,2172
OTG00022,TWR00054,2026-06-07 02:22:00,2026-06-07 06:22:00,240,Minor,Scheduled Firmware Maintenance,282
OTG00023,TWR00022,2026-05-31 13:36:00,2026-05-31 16:36:00,180,Minor,Backhaul Link Degraded,1571
OTG00024,TWR00066,2026-05-19 14:39:00,2026-05-19 14:54:00,15,Minor,Commercial Power Outage,2534
OTG00025,TWR00029,2026-01-03 04:42:00,2026-01-03 06:12:00,90,Major,Fiber Cut,2474
OTG00026,TWR00082,2026-05-01 09:04:00,2026-05-01 11:04:00,120,Major,Scheduled Firmware Maintenance,913
OTG00027,TWR00061,2026-02-09 14:29:00,2026-02-09 20:29:00,360,Major,Fiber Cut,2314
OTG00028,TWR00047,2026-05-30 16:16:00,2026-05-30 18:16:00,120,Critical,Hardware Component Failure,1529
OTG00029,TWR00090,2026-02-04 01:27:00,2026-02-04 01:57:00,30,Minor,Scheduled Firmware Maintenance,2016
OTG00030,TWR00073,2026-03-23 13:39:00,2026-03-23 14:24:00,45,Minor,Hardware Component Failure,1877
OTG00031,TWR00067,2026-03-21 18:02:00,2026-03-21 18:32:00,30,Minor,Scheduled Firmware Maintenance,800
OTG00032,TWR00040,2026-05-26 06:03:00,2026-05-26 06:18:00,15,Minor,Scheduled Firmware Maintenance,1656
OTG00033,TWR00016,2026-02-03 12:14:00,2026-02-03 12:44:00,30,Minor,Backhaul Link Degraded,489
OTG00034,TWR00072,2026-05-26 19:25:00,2026-05-26 23:25:00,240,Minor,Scheduled Firmware Maintenance,1878
OTG00035,TWR00067,2026-01-06 03:47:00,2026-01-06 05:47:00,120,Major,Backhaul Link Degraded,2423
OTG00036,TWR00036,2026-06-27 05:21:00,2026-06-27 11:21:00,360,Minor,Hardware Component Failure,3068
OTG00037,TWR00040,2026-05-14 01:09:00,2026-05-14 05:09:00,240,Minor,Hardware Component Failure,1770
OTG00038,TWR00017,2026-08-01 00:37:00,2026-08-01 03:37:00,180,Minor,Backhaul Link Degraded,657
OTG00039,TWR00077,2026-04-16 05:54:00,2026-04-16 07:24:00,90,Major,Fiber Cut,1725
OTG00040,TWR00056,2026-01-28 19:37:00,2026-01-28 20:07:00,30,Major,Hardware Component Failure,884
OTG00041,TWR00019,2026-07-25 11:00:00,2026-07-25 15:00:00,240,Major,Fiber Cut,2798
OTG00042,TWR00044,2026-04-12 12:58:00,2026-04-12 13:28:00,30,Major,Backhaul Link Degraded,1646
OTG00043,TWR00045,2026-06-26 01:19:00,2026-06-26 01:34:00,15,Major,Backhaul Link Degraded,2060
OTG00044,TWR00019,2026-08-29 17:33:00,2026-08-29 18:03:00,30,Minor,Scheduled Firmware Maintenance,3489
OTG00045,TWR00003,2026-02-16 21:39:00,2026-02-16 21:54:00,15,Major,Scheduled Firmware Maintenance,1359
OTG00046,TWR00008,2026-03-21 21:08:00,2026-03-21 21:38:00,30,Minor,Backhaul Link Degraded,3025
OTG00047,TWR00011,2026-06-15 12:29:00,2026-06-15 18:29:00,360,Major,Hardware Component Failure,3253
OTG00048,TWR00046,2026-08-10 03:33:00,2026-08-10 04:18:00,45,Major,Backhaul Link Degraded,3463
OTG00049,TWR00097,2026-02-26 17:29:00,2026-02-26 23:29:00,360,Major,Severe Weather / Heavy Rain,1269
OTG00050,TWR00090,2026-08-21 18:46:00,2026-08-21 19:31:00,45,Major,Backhaul Link Degraded,2134
OTG00051,TWR00010,2026-06-17 14:22:00,2026-06-17 17:22:00,180,Minor,Hardware Component Failure,544
OTG00052,TWR00088,2026-01-17 14:17:00,2026-01-17 15:47:00,90,Major,Commercial Power Outage,782
OTG00053,TWR00040,2026-07-30 13:31:00,2026-07-30 15:31:00,120,Minor,Scheduled Firmware Maintenance,2147
OTG00054,TWR00015,2026-04-22 21:06:00,2026-04-23 01:06:00,240,Critical,Hardware Component Failure,3099
OTG00055,TWR00051,2026-02-09 16:18:00,2026-02-09 17:48:00,90,Major,Severe Weather / Heavy Rain,1167
OTG00056,TWR00012,2026-01-02 08:34:00,2026-01-02 09:19:00,45,Major,Hardware Component Failure,1894
OTG00057,TWR00053,2026-07-23 05:25:00,2026-07-23 06:10:00,45,Minor,Fiber Cut,1337
OTG00058,TWR00099,2026-06-03 15:14:00,2026-06-03 15:59:00,45,Minor,Commercial Power Outage,495
OTG00059,TWR00076,2026-03-14 18:35:00,2026-03-14 21:35:00,180,Minor,Fiber Cut,927
OTG00060,TWR00060,2026-05-16 00:58:00,2026-05-16 02:28:00,90,Minor,Hardware Component Failure,3130
OTG00061,TWR00039,2026-01-30 16:31:00,2026-01-30 17:01:00,30,Major,Severe Weather / Heavy Rain,3214
OTG00062,TWR00058,2026-08-10 18:57:00,2026-08-10 22:57:00,240,Major,Backhaul Link Degraded,593
OTG00063,TWR00044,2026-02-04 15:02:00,2026-02-04 15:47:00,45,Minor,Severe Weather / Heavy Rain,1735
OTG00064,TWR00052,2026-02-17 16:48:00,2026-02-17 17:18:00,30,Minor,Backhaul Link Degraded,3275
OTG00065,TWR00070,2026-04-09 19:20:00,2026-04-09 21:20:00,120,Critical,Hardware Component Failure,2313
OTG00066,TWR00043,2026-01-13 15:25:00,2026-01-13 21:25:00,360,Minor,Scheduled Firmware Maintenance,2388
OTG00067,TWR00080,2026-02-01 02:46:00,2026-02-01 08:46:00,360,Major,Severe Weather / Heavy Rain,2798
OTG00068,TWR00039,2026-04-08 00:03:00,2026-04-08 01:03:00,60,Minor,Severe Weather / Heavy Rain,1392
OTG00069,TWR00057,2026-02-15 03:11:00,2026-02-15 04:11:00,60,Minor,Hardware Component Failure,2629
OTG00070,TWR00023,2026-01-24 07:42:00,2026-01-24 08:12:00,30,Minor,Fiber Cut,1748
OTG00071,TWR00077,2026-08-14 23:42:00,2026-08-15 00:27:00,45,Minor,Hardware Component Failure,2271
OTG00072,TWR00024,2026-07-12 03:38:00,2026-07-12 05:38:00,120,Minor,Hardware Component Failure,219
OTG00073,TWR00054,2026-07-08 18:55:00,2026-07-08 19:10:00,15,Major,Fiber Cut,781
OTG00074,TWR00017,2026-01-27 22:18:00,2026-01-28 01:18:00,180,Minor,Fiber Cut,3107
OTG00075,TWR00055,2026-04-19 13:00:00,2026-04-19 16:00:00,180,Minor,Commercial Power Outage,2144
OTG00076,TWR00083,2026-01-15 23:56:00,2026-01-16 00:11:00,15,Minor,Severe Weather / Heavy Rain,1257
OTG00077,TWR00021,2026-06-13 23:32:00,2026-06-14 00:02:00,30,Minor,Fiber Cut,1438
OTG00078,TWR00051,2026-03-15 07:00:00,2026-03-15 09:00:00,120,Major,Severe Weather / Heavy Rain,403
OTG00079,TWR00026,2026-08-03 12:52:00,2026-08-03 18:52:00,360,Minor,Severe Weather / Heavy Rain,501
OTG00080,TWR00025,2026-01-18 00:14:00,2026-01-18 00:44:00,30,Minor,Commercial Power Outage,2376
OTG00081,TWR00058,2026-06-05 19:32:00,2026-06-05 23:32:00,240,Minor,Commercial Power Outage,823
OTG00082,TWR00006,2026-02-19 17:29:00,2026-02-19 23:29:00,360,Critical,Fiber Cut,1811
OTG00083,TWR00089,2026-04-13 19:45:00,2026-04-13 23:45:00,240,Major,Hardware Component Failure,2236
OTG00084,TWR00007,2026-07-03 00:45:00,2026-07-03 01:45:00,60,Minor,Fiber Cut,2922
OTG00085,TWR00073,2026-08-29 21:11:00,2026-08-30 03:11:00,360,Major,Fiber Cut,329
OTG00086,TWR00086,2026-05-22 14:04:00,2026-05-22 20:04:00,360,Major,Fiber Cut,1427
OTG00087,TWR00063,2026-06-12 04:43:00,2026-06-12 04:58:00,15,Minor,Severe Weather / Heavy Rain,2292
OTG00088,TWR00029,2026-06-28 21:57:00,2026-06-28 22:57:00,60,Minor,Fiber Cut,1044
OTG00089,TWR00010,2026-02-04 01:34:00,2026-02-04 03:34:00,120,Minor,Severe Weather / Heavy Rain,319
OTG00090,TWR00039,2026-05-18 20:45:00,2026-05-19 00:45:00,240,Critical,Fiber Cut,2929
OTG00091,TWR00012,2026-05-23 21:52:00,2026-05-23 23:22:00,90,Major,Hardware Component Failure,2845
OTG00092,TWR00040,2026-05-25 19:34:00,2026-05-25 22:34:00,180,Minor,Backhaul Link Degraded,1482
OTG00093,TWR00038,2026-06-28 10:33:00,2026-06-28 11:33:00,60,Minor,Backhaul Link Degraded,656
OTG00094,TWR00098,2026-08-16 01:32:00,2026-08-16 04:32:00,180,Minor,Hardware Component Failure,3464
OTG00095,TWR00063,2026-05-04 22:40:00,2026-05-04 23:10:00,30,Major,Scheduled Firmware Maintenance,2884
OTG00096,TWR00018,2026-08-21 22:12:00,2026-08-21 23:12:00,60,Critical,Scheduled Firmware Maintenance,2281
OTG00097,TWR00037,2026-08-10 16:48:00,2026-08-10 17:33:00,45,Major,Backhaul Link Degraded,378
OTG00098,TWR00051,2026-05-10 00:50:00,2026-05-10 03:50:00,180,Major,Scheduled Firmware Maintenance,227
OTG00099,TWR00009,2026-04-23 07:34:00,2026-04-23 11:34:00,240,Minor,Severe Weather / Heavy Rain,810
OTG00100,TWR00032,2026-02-17 16:58:00,2026-02-17 19:58:00,180,Major,Commercial Power Outage,3154
OTG00101,TWR00081,2026-02-01 12:42:00,2026-02-01 13:12:00,30,Critical,Severe Weather / Heavy Rain,638
OTG00102,TWR00009,2026-01-03 14:57:00,2026-01-03 16:57:00,120,Minor,Severe Weather / Heavy Rain,3322
OTG00103,TWR00036,2026-02-28 19:26:00,2026-03-01 01:26:00,360,Minor,Backhaul Link Degraded,286
OTG00104,TWR00058,2026-08-27 12:39:00,2026-08-27 16:39:00,240,Major,Hardware Component Failure,2487
OTG00105,TWR00081,2026-05-25 14:12:00,2026-05-25 16:12:00,120,Minor,Scheduled Firmware Maintenance,3008
OTG00106,TWR00064,2026-03-11 20:13:00,2026-03-11 20:43:00,30,Major,Fiber Cut,2164
OTG00107,TWR00068,2026-03-02 02:44:00,2026-03-02 08:44:00,360,Minor,Fiber Cut,2849
OTG00108,TWR00018,2026-01-22 04:04:00,2026-01-22 04:19:00,15,Major,Backhaul Link Degraded,292
OTG00109,TWR00043,2026-07-04 14:19:00,2026-07-04 17:19:00,180,Minor,Commercial Power Outage,1945
OTG00110,TWR00001,2026-08-10 15:54:00,2026-08-10 16:24:00,30,Minor,Commercial Power Outage,2865
OTG00111,TWR00055,2026-04-19 15:53:00,2026-04-19 16:08:00,15,Minor,Commercial Power Outage,393
OTG00112,TWR00091,2026-07-31 03:28:00,2026-07-31 06:28:00,180,Major,Backhaul Link Degraded,1210
OTG00113,TWR00061,2026-08-28 17:19:00,2026-08-28 18:04:00,45,Minor,Commercial Power Outage,2073
OTG00114,TWR00059,2026-01-25 23:00:00,2026-01-26 03:00:00,240,Minor,Hardware Component Failure,2387
OTG00115,TWR00040,2026-04-12 16:04:00,2026-04-12 18:04:00,120,Minor,Commercial Power Outage,2100
OTG00116,TWR00096,2026-06-03 23:21:00,2026-06-03 23:36:00,15,Minor,Fiber Cut,1838
OTG00117,TWR00089,2026-06-05 19:29:00,2026-06-05 20:59:00,90,Major,Scheduled Firmware Maintenance,1618
OTG00118,TWR00066,2026-01-23 11:07:00,2026-01-23 11:52:00,45,Major,Hardware Component Failure,1196
OTG00119,TWR00007,2026-03-07 08:26:00,2026-03-07 14:26:00,360,Major,Scheduled Firmware Maintenance,1267
OTG00120,TWR00066,2026-06-14 07:51:00,2026-06-14 08:36:00,45,Major,Fiber Cut,3353
OTG00121,TWR00094,2026-06-23 10:01:00,2026-06-23 11:01:00,60,Minor,Scheduled Firmware Maintenance,668
OTG00122,TWR00065,2026-04-15 04:10:00,2026-04-15 05:40:00,90,Major,Backhaul Link Degraded,2248
OTG00123,TWR00074,2026-01-17 20:04:00,2026-01-17 23:04:00,180,Major,Commercial Power Outage,1335
OTG00124,TWR00010,2026-04-21 05:26:00,2026-04-21 06:56:00,90,Minor,Fiber Cut,1064
OTG00125,TWR00007,2026-07-27 12:55:00,2026-07-27 13:25:00,30,Minor,Scheduled Firmware Maintenance,3468
OTG00126,TWR00050,2026-07-27 10:52:00,2026-07-27 11:52:00,60,Critical,Hardware Component Failure,2396
OTG00127,TWR00061,2026-06-02 07:12:00,2026-06-02 07:57:00,45,Minor,Hardware Component Failure,1144
OTG00128,TWR00011,2026-02-20 04:51:00,2026-02-20 10:51:00,360,Minor,Severe Weather / Heavy Rain,555
OTG00129,TWR00012,2026-02-04 05:54:00,2026-02-04 07:54:00,120,Minor,Scheduled Firmware Maintenance,1761
OTG00130,TWR00044,2026-06-29 20:43:00,2026-06-29 22:43:00,120,Critical,Fiber Cut,3044
OTG00131,TWR00045,2026-04-13 11:07:00,2026-04-13 11:37:00,30,Major,Hardware Component Failure,1271
OTG00132,TWR00068,2026-04-22 08:59:00,2026-04-22 09:44:00,45,Critical,Backhaul Link Degraded,2576
OTG00133,TWR00036,2026-07-03 06:17:00,2026-07-03 07:17:00,60,Minor,Backhaul Link Degraded,2788
OTG00134,TWR00038,2026-05-16 14:16:00,2026-05-16 14:46:00,30,Minor,Hardware Component Failure,432
OTG00135,TWR00088,2026-03-02 03:59:00,2026-03-02 04:59:00,60,Major,Fiber Cut,1029
OTG00136,TWR00049,2026-08-03 10:38:00,2026-08-03 11:08:00,30,Minor,Severe Weather / Heavy Rain,1041
OTG00137,TWR00042,2026-05-14 04:22:00,2026-05-14 04:52:00,30,Minor,Scheduled Firmware Maintenance,2175
OTG00138,TWR00041,2026-07-15 23:35:00,2026-07-16 01:35:00,120,Major,Fiber Cut,211
OTG00139,TWR00077,2026-06-20 01:48:00,2026-06-20 02:33:00,45,Minor,Fiber Cut,210
OTG00140,TWR00088,2026-02-05 08:00:00,2026-02-05 08:30:00,30,Critical,Severe Weather / Heavy Rain,783
OTG00141,TWR00044,2026-08-18 14:34:00,2026-08-18 15:04:00,30,Minor,Fiber Cut,2878
OTG00142,TWR00059,2026-07-26 10:04:00,2026-07-26 14:04:00,240,Minor,Hardware Component Failure,464
OTG00143,TWR00037,2026-01-25 02:39:00,2026-01-25 03:39:00,60,Minor,Severe Weather / Heavy Rain,2134
OTG00144,TWR00055,2026-04-21 21:39:00,2026-04-21 22:24:00,45,Minor,Backhaul Link Degraded,2340
OTG00145,TWR00024,2026-06-18 15:04:00,2026-06-18 21:04:00,360,Minor,Fiber Cut,2490
OTG00146,TWR00079,2026-04-09 17:07:00,2026-04-09 23:07:00,360,Minor,Backhaul Link Degraded,1540
OTG00147,TWR00025,2026-07-06 12:59:00,2026-07-06 15:59:00,180,Major,Fiber Cut,2915
OTG00148,TWR00025,2026-04-05 08:58:00,2026-04-05 12:58:00,240,Minor,Fiber Cut,2005
OTG00149,TWR00070,2026-07-04 21:57:00,2026-07-04 23:57:00,120,Minor,Fiber Cut,1314
OTG00150,TWR00038,2026-01-02 22:50:00,2026-01-02 23:20:00,30,Minor,Backhaul Link Degraded,1628
OTG00151,TWR00073,2026-07-08 16:53:00,2026-07-08 18:23:00,90,Major,Backhaul Link Degraded,753
OTG00152,TWR00014,2026-07-28 06:19:00,2026-07-28 06:34:00,15,Critical,Backhaul Link Degraded,869
OTG00153,TWR00037,2026-04-13 06:20:00,2026-04-13 07:50:00,90,Minor,Commercial Power Outage,2565
OTG00154,TWR00002,2026-07-13 07:54:00,2026-07-13 09:24:00,90,Minor,Severe Weather / Heavy Rain,1246
OTG00155,TWR00004,2026-06-28 12:02:00,2026-06-28 12:32:00,30,Major,Scheduled Firmware Maintenance,2008
OTG00156,TWR00052,2026-02-18 13:13:00,2026-02-18 14:43:00,90,Major,Hardware Component Failure,1747
OTG00157,TWR00040,2026-06-25 14:52:00,2026-06-25 17:52:00,180,Minor,Scheduled Firmware Maintenance,298
OTG00158,TWR00099,2026-03-12 20:09:00,2026-03-12 21:39:00,90,Minor,Severe Weather / Heavy Rain,452
OTG00159,TWR00081,2026-06-29 19:42:00,2026-06-29 20:12:00,30,Major,Commercial Power Outage,2654
OTG00160,TWR00049,2026-08-19 15:53:00,2026-08-19 19:53:00,240,Minor,Fiber Cut,2019
OTG00161,TWR00065,2026-05-24 02:55:00,2026-05-24 03:55:00,60,Minor,Commercial Power Outage,500
OTG00162,TWR00046,2026-04-06 23:08:00,2026-04-07 00:08:00,60,Minor,Backhaul Link Degraded,3082
OTG00163,TWR00021,2026-01-15 07:49:00,2026-01-15 08:19:00,30,Minor,Hardware Component Failure,2735
OTG00164,TWR00017,2026-06-02 21:12:00,2026-06-03 01:12:00,240,Minor,Severe Weather / Heavy Rain,1094
OTG00165,TWR00026,2026-07-22 07:42:00,2026-07-22 08:12:00,30,Minor,Backhaul Link Degraded,1632
OTG00166,TWR00072,2026-03-30 02:38:00,2026-03-30 03:23:00,45,Minor,Scheduled Firmware Maintenance,2821
OTG00167,TWR00008,2026-06-17 13:32:00,2026-06-17 14:02:00,30,Minor,Severe Weather / Heavy Rain,3063
OTG00168,TWR00099,2026-03-14 08:21:00,2026-03-14 09:21:00,60,Major,Severe Weather / Heavy Rain,810
OTG00169,TWR00084,2026-03-24 15:26:00,2026-03-24 16:11:00,45,Major,Scheduled Firmware Maintenance,2284
OTG00170,TWR00054,2026-02-02 21:37:00,2026-02-02 23:37:00,120,Critical,Commercial Power Outage,320
OTG00171,TWR00081,2026-07-22 21:15:00,2026-07-23 01:15:00,240,Major,Scheduled Firmware Maintenance,2746
OTG00172,TWR00034,2026-07-12 06:11:00,2026-07-12 07:11:00,60,Minor,Commercial Power Outage,2523
OTG00173,TWR00003,2026-07-18 15:40:00,2026-07-18 16:10:00,30,Minor,Severe Weather / Heavy Rain,1064
OTG00174,TWR00005,2026-01-29 12:51:00,2026-01-29 13:21:00,30,Minor,Hardware Component Failure,272
OTG00175,TWR00098,2026-01-23 05:46:00,2026-01-23 11:46:00,360,Minor,Backhaul Link Degraded,3308
OTG00176,TWR00004,2026-03-18 22:32:00,2026-03-18 22:47:00,15,Minor,Commercial Power Outage,1686
OTG00177,TWR00030,2026-04-02 15:05:00,2026-04-02 15:35:00,30,Minor,Backhaul Link Degraded,3328
OTG00178,TWR00095,2026-06-01 02:40:00,2026-06-01 06:40:00,240,Minor,Severe Weather / Heavy Rain,3245
OTG00179,TWR00095,2026-04-17 09:11:00,2026-04-17 11:11:00,120,Minor,Scheduled Firmware Maintenance,2374
OTG00180,TWR00077,2026-07-20 12:00:00,2026-07-20 13:30:00,90,Minor,Severe Weather / Heavy Rain,987
OTG00181,TWR00026,2026-04-02 22:42:00,2026-04-03 01:42:00,180,Minor,Commercial Power Outage,2992
OTG00182,TWR00006,2026-05-16 23:43:00,2026-05-16 23:58:00,15,Critical,Hardware Component Failure,259
OTG00183,TWR00100,2026-01-03 18:46:00,2026-01-03 20:16:00,90,Major,Backhaul Link Degraded,2246
OTG00184,TWR00076,2026-04-13 07:58:00,2026-04-13 08:58:00,60,Major,Hardware Component Failure,2642
OTG00185,TWR00048,2026-01-10 11:14:00,2026-01-10 12:44:00,90,Critical,Scheduled Firmware Maintenance,277
OTG00186,TWR00016,2026-04-24 09:32:00,2026-04-24 11:32:00,120,Minor,Commercial Power Outage,3496
OTG00187,TWR00036,2026-02-12 09:44:00,2026-02-12 10:44:00,60,Minor,Backhaul Link Degraded,3227
OTG00188,TWR00030,2026-01-24 10:56:00,2026-01-24 12:56:00,120,Minor,Hardware Component Failure,2998
OTG00189,TWR00051,2026-08-31 07:32:00,2026-08-31 08:17:00,45,Minor,Commercial Power Outage,658
OTG00190,TWR00061,2026-03-31 03:44:00,2026-03-31 09:44:00,360,Minor,Hardware Component Failure,1166
OTG00191,TWR00079,2026-05-13 11:48:00,2026-05-13 17:48:00,360,Minor,Severe Weather / Heavy Rain,1054
OTG00192,TWR00050,2026-08-26 04:56:00,2026-08-26 05:26:00,30,Critical,Scheduled Firmware Maintenance,1568
OTG00193,TWR00090,2026-08-18 08:28:00,2026-08-18 08:43:00,15,Major,Hardware Component Failure,589
OTG00194,TWR00042,2026-01-04 05:05:00,2026-01-04 07:05:00,120,Minor,Commercial Power Outage,960
OTG00195,TWR00010,2026-04-06 04:29:00,2026-04-06 07:29:00,180,Major,Fiber Cut,2530
OTG00196,TWR00011,2026-02-22 16:21:00,2026-02-22 16:36:00,15,Critical,Backhaul Link Degraded,2118
OTG00197,TWR00063,2026-07-20 20:03:00,2026-07-20 20:33:00,30,Minor,Fiber Cut,2220
OTG00198,TWR00012,2026-06-02 03:46:00,2026-06-02 06:46:00,180,Major,Backhaul Link Degraded,2686
OTG00199,TWR00072,2026-06-16 16:22:00,2026-06-16 22:22:00,360,Minor,Fiber Cut,3111
OTG00200,TWR00010,2026-08-13 04:49:00,2026-08-13 05:04:00,15,Minor,Fiber Cut,882
OTG00201,TWR00023,2026-02-11 23:50:00,2026-02-12 00:35:00,45,Major,Backhaul Link Degraded,1622
OTG00202,TWR00001,2026-02-03 02:09:00,2026-02-03 03:09:00,60,Major,Severe Weather / Heavy Rain,1329
OTG00203,TWR00034,2026-04-09 14:51:00,2026-04-09 18:51:00,240,Minor,Commercial Power Outage,1837
OTG00204,TWR00043,2026-05-31 23:17:00,2026-06-01 00:17:00,60,Minor,Hardware Component Failure,3187
OTG00205,TWR00063,2026-07-09 07:40:00,2026-07-09 09:40:00,120,Major,Commercial Power Outage,2558
OTG00206,TWR00059,2026-06-07 07:56:00,2026-06-07 08:56:00,60,Major,Backhaul Link Degraded,1140
OTG00207,TWR00060,2026-03-21 16:57:00,2026-03-21 17:57:00,60,Minor,Scheduled Firmware Maintenance,1416
OTG00208,TWR00072,2026-06-02 09:12:00,2026-06-02 09:42:00,30,Major,Scheduled Firmware Maintenance,1299
OTG00209,TWR00017,2026-06-13 01:44:00,2026-06-13 03:44:00,120,Minor,Commercial Power Outage,333
OTG00210,TWR00081,2026-08-06 23:21:00,2026-08-06 23:51:00,30,Minor,Hardware Component Failure,1281
OTG00211,TWR00050,2026-06-11 07:20:00,2026-06-11 07:50:00,30,Major,Commercial Power Outage,896
OTG00212,TWR00019,2026-05-07 00:00:00,2026-05-07 03:00:00,180,Minor,Hardware Component Failure,2867
OTG00213,TWR00060,2026-04-01 13:22:00,2026-04-01 14:07:00,45,Major,Scheduled Firmware Maintenance,2765
OTG00214,TWR00023,2026-08-12 18:55:00,2026-08-12 20:25:00,90,Minor,Fiber Cut,2639
OTG00215,TWR00024,2026-07-15 13:01:00,2026-07-15 17:01:00,240,Minor,Scheduled Firmware Maintenance,1918
OTG00216,TWR00098,2026-04-05 21:03:00,2026-04-06 03:03:00,360,Minor,Backhaul Link Degraded,747
OTG00217,TWR00040,2026-04-18 10:10:00,2026-04-18 10:40:00,30,Minor,Hardware Component Failure,2405
OTG00218,TWR00063,2026-05-20 09:48:00,2026-05-20 11:18:00,90,Minor,Fiber Cut,1557
OTG00219,TWR00089,2026-08-17 09:26:00,2026-08-17 10:56:00,90,Minor,Severe Weather / Heavy Rain,1592
OTG00220,TWR00082,2026-05-12 14:27:00,2026-05-12 14:57:00,30,Major,Commercial Power Outage,993
OTG00221,TWR00038,2026-07-18 22:40:00,2026-07-19 01:40:00,180,Minor,Severe Weather / Heavy Rain,3164
OTG00222,TWR00070,2026-01-15 04:29:00,2026-01-15 10:29:00,360,Critical,Severe Weather / Heavy Rain,1794
OTG00223,TWR00097,2026-03-07 08:12:00,2026-03-07 09:42:00,90,Major,Fiber Cut,2144
OTG00224,TWR00066,2026-08-24 22:58:00,2026-08-24 23:58:00,60,Major,Backhaul Link Degraded,1753
OTG00225,TWR00077,2026-01-04 00:42:00,2026-01-04 06:42:00,360,Critical,Fiber Cut,3174
OTG00226,TWR00033,2026-02-09 16:59:00,2026-02-09 22:59:00,360,Minor,Backhaul Link Degraded,2306
OTG00227,TWR00004,2026-06-03 04:21:00,2026-06-03 06:21:00,120,Major,Severe Weather / Heavy Rain,2579
OTG00228,TWR00041,2026-07-14 04:46:00,2026-07-14 07:46:00,180,Major,Severe Weather / Heavy Rain,3330
OTG00229,TWR00059,2026-03-15 13:24:00,2026-03-15 16:24:00,180,Minor,Scheduled Firmware Maintenance,3112
OTG00230,TWR00046,2026-07-26 01:26:00,2026-07-26 07:26:00,360,Minor,Severe Weather / Heavy Rain,2813
OTG00231,TWR00001,2026-06-22 05:56:00,2026-06-22 07:56:00,120,Minor,Scheduled Firmware Maintenance,3479
OTG00232,TWR00091,2026-03-26 13:56:00,2026-03-26 15:56:00,120,Minor,Backhaul Link Degraded,1921
OTG00233,TWR00067,2026-03-06 06:06:00,2026-03-06 09:06:00,180,Major,Commercial Power Outage,3339
OTG00234,TWR00094,2026-02-19 09:25:00,2026-02-19 11:25:00,120,Minor,Scheduled Firmware Maintenance,2850
OTG00235,TWR00086,2026-08-19 16:52:00,2026-08-19 17:52:00,60,Minor,Backhaul Link Degraded,3307
OTG00236,TWR00007,2026-07-03 21:01:00,2026-07-03 23:01:00,120,Minor,Backhaul Link Degraded,849
OTG00237,TWR00019,2026-07-17 17:13:00,2026-07-17 19:13:00,120,Minor,Fiber Cut,632
OTG00238,TWR00021,2026-05-10 19:37:00,2026-05-10 20:22:00,45,Major,Hardware Component Failure,3210
OTG00239,TWR00016,2026-04-14 03:13:00,2026-04-14 06:13:00,180,Minor,Backhaul Link Degraded,2666
