payment_id,bill_id,customer_id,payment_datetime,amount,payment_method,payment_gateway,transaction_status,transaction_ref
PMT0000099,BIL0000107,6728-DKUCO,2026-06-10 21:47:00,63.9,Credit Card,Paytm,SUCCESS,TXN249440643
PMT0000100,BIL0000108,9750-BOOHV,2026-06-10 11:32:00,35.58,UPI,PhonePe,SUCCESS,TXN765152242
PMT0000101,BIL0000109,8597-CWYHH,2026-06-15 13:11:00,52.33,Credit Card,Paytm,SUCCESS,TXN430466386
PMT0000102,BIL0000110,2848-YXSMW,2026-06-05 21:20:00,22.89,UPI,Stripe,SUCCESS,TXN997558631
PMT0000103,BIL0000111,0486-HECZI,2026-06-15 12:38:00,232.16,Credit Card,BillDesk,SUCCESS,TXN998605751
PMT0000104,BIL0000112,4549-ZDQYY,2026-06-11 13:50:00,68.38,Mailed check,PhonePe,SUCCESS,TXN925143357
PMT0000105,BIL0000113,5712-AHQNN,2026-06-14 10:29:00,167.15,Bank transfer (automatic),Stripe,SUCCESS,TXN405455350
PMT0000106,BIL0000114,4846-WHAFZ,2026-06-03 12:47:00,90.27,Net Banking,Stripe,SUCCESS,TXN650094336
PMT0000107,BIL0000116,3071-VBYPO,2026-06-11 12:03:00,224.02,Electronic check,Razorpay,SUCCESS,TXN110021766
PMT0000108,BIL0000117,9560-BBZXK,2026-06-08 09:36:00,0.0,Bank transfer (automatic),Stripe,SUCCESS,TXN902561007
PMT0000109,BIL0000118,5299-RULOA,2026-06-02 10:38:00,59.29,Net Banking,BillDesk,FAILED,TXN163209835
PMT0000110,BIL0000119,8402-OOOHJ,2026-06-09 10:14:00,171.87,Debit Card,PhonePe,SUCCESS,TXN121606530
PMT0000111,BIL0000120,9445-ZUEQE,2026-06-11 17:46:00,189.04,Debit Card,PhonePe,SUCCESS,TXN710182289
PMT0000112,BIL0000122,2928-HLDBA,2026-06-05 14:24:00,142.43,Mailed check,Stripe,SUCCESS,TXN840515371
PMT0000113,BIL0000123,0404-SWRVG,2026-06-12 17:18:00,205.79,Mailed check,BillDesk,SUCCESS,TXN775084519
PMT0000114,BIL0000124,6497-TILVL,2026-06-11 20:13:00,148.33,Electronic check,Paytm,SUCCESS,TXN152806352
PMT0000115,BIL0000125,7219-TLZHO,2026-06-05 22:02:00,201.6,UPI,BillDesk,SUCCESS,TXN108560605
PMT0000116,BIL0000126,4622-YNKIJ,2026-06-10 14:35:00,281.96,Credit Card,Stripe,SUCCESS,TXN333328824
PMT0000117,BIL0000127,4412-YLTKF,2026-06-12 18:20:00,180.6,UPI,PhonePe,SUCCESS,TXN676401390
PMT0000118,BIL0000128,6734-PSBAW,2026-06-03 08:58:00,27.79,Mailed check,PhonePe,FAILED,TXN151733310
PMT0000119,BIL0000129,3930-ZGWVE,2026-06-12 10:04:00,23.3,UPI,Razorpay,SUCCESS,TXN520233300
PMT0000120,BIL0000130,2639-UGMAZ,2026-06-06 13:54:00,96.11,Electronic check,BillDesk,SUCCESS,TXN406211463
PMT0000121,BIL0000131,2876-GZYZC,2026-06-15 19:30:00,160.42,Mailed check,BillDesk,SUCCESS,TXN699313905
PMT0000122,BIL0000132,6207-WIOLX,2026-06-02 20:23:00,187.15,Net Banking,Paytm,SUCCESS,TXN416623025
PMT0000123,BIL0000133,8587-XYZSF,2026-06-11 20:29:00,59.65,Net Banking,PhonePe,SUCCESS,TXN218529936
PMT0000124,BIL0000134,3091-FYHKI,2026-06-08 21:45:00,189.33,UPI,PhonePe,SUCCESS,TXN427381567
PMT0000125,BIL0000135,2372-HWUHI,2026-06-06 16:01:00,111.33,Mailed check,Razorpay,SUCCESS,TXN419745551
PMT0000126,BIL0000136,7799-LGRDP,2026-06-05 10:07:00,30.33,Mailed check,Paytm,FAILED,TXN712534244
PMT0000127,BIL0000137,7850-VWJUU,2026-06-11 09:14:00,206.5,UPI,Razorpay,SUCCESS,TXN884262139
PMT0000128,BIL0000138,3774-VBNXY,2026-06-08 08:37:00,82.84,Mailed check,PhonePe,SUCCESS,TXN760568011
PMT0000129,BIL0000139,6217-KDYWC,2026-06-03 17:08:00,0.0,Debit Card,Stripe,SUCCESS,TXN503476366
PMT0000130,BIL0000140,0390-DCFDQ,2026-06-06 13:00:00,83.13,UPI,PhonePe,SUCCESS,TXN528769836
PMT0000131,BIL0000141,3146-MSEGF,2026-06-10 12:09:00,44.9,Credit Card,Razorpay,SUCCESS,TXN565378081
PMT0000132,BIL0000142,4080-OGPJL,2026-06-14 17:34:00,83.96,UPI,Paytm,FAILED,TXN272513580
PMT0000133,BIL0000143,1095-WGNGG,2026-06-11 17:34:00,237.24,Debit Card,BillDesk,SUCCESS,TXN410525735
PMT0000134,BIL0000144,2636-SJDOU,2026-06-02 15:06:00,99.47,Credit Card,PhonePe,SUCCESS,TXN298350860
PMT0000135,BIL0000145,1131-QQZEB,2026-06-04 12:50:00,28.26,Net Banking,BillDesk,SUCCESS,TXN720881928
PMT0000136,BIL0000146,5716-EZXZN,2026-06-11 21:42:00,234.88,Bank transfer (automatic),PhonePe,SUCCESS,TXN863247210
PMT0000137,BIL0000147,6837-BJYDQ,2026-06-10 15:29:00,0.0,Electronic check,BillDesk,SUCCESS,TXN506597038
PMT0000138,BIL0000148,2135-RXIHG,2026-06-15 10:13:00,24.37,Electronic check,Paytm,SUCCESS,TXN698652647
PMT0000139,BIL0000149,6440-DKQGE,2026-06-04 22:54:00,76.11,UPI,Razorpay,SUCCESS,TXN181466530
PMT0000140,BIL0000150,3466-BYAVD,2026-06-04 21:53:00,141.01,Credit Card,Paytm,SUCCESS,TXN501661204
PMT0000141,BIL0000151,3780-YVMFA,2026-06-11 17:28:00,139.89,Net Banking,Paytm,SUCCESS,TXN415299993
PMT0000142,BIL0000152,3874-EQOEP,2026-06-15 19:40:00,230.1,Net Banking,BillDesk,SUCCESS,TXN638993339
PMT0000143,BIL0000153,1679-JRFBR,2026-06-02 09:44:00,275.12,Mailed check,Razorpay,SUCCESS,TXN644778901
PMT0000144,BIL0000154,9073-ZZIAY,2026-06-07 12:33:00,131.1,Net Banking,PhonePe,SUCCESS,TXN489589808
PMT0000145,BIL0000155,3077-RSNTJ,2026-06-07 21:42:00,141.25,UPI,BillDesk,SUCCESS,TXN871398961
PMT0000146,BIL0000156,6551-GNYDG,2026-06-13 19:25:00,95.46,Electronic check,Razorpay,SUCCESS,TXN851098890
PMT0000147,BIL0000157,9167-APMXZ,2026-06-13 22:59:00,158.3,Credit Card,Paytm,SUCCESS,TXN153331461
PMT0000148,BIL0000158,2749-CTKAJ,2026-06-04 19:29:00,171.28,Bank transfer (automatic),Razorpay,FAILED,TXN368472127
PMT0000149,BIL0000159,6371-NZYEG,2026-06-14 20:04:00,134.81,Electronic check,Razorpay,SUCCESS,TXN198636500
PMT0000150,BIL0000160,7554-NEWDD,2026-06-02 11:08:00,177.83,Credit Card,BillDesk,SUCCESS,TXN463589482
PMT0000151,BIL0000162,0867-MKZVY,2026-06-12 16:40:00,97.23,Electronic check,Paytm,SUCCESS,TXN608889259
PMT0000152,BIL0000163,4482-EWFMI,2026-06-09 18:00:00,23.25,Mailed check,Razorpay,SUCCESS,TXN833832043
PMT0000153,BIL0000164,4648-YPBTM,2026-06-02 09:10:00,28.2,Debit Card,BillDesk,SUCCESS,TXN685521823
PMT0000154,BIL0000166,6345-FZOQH,2026-06-06 13:36:00,200.48,Mailed check,BillDesk,SUCCESS,TXN735013021
PMT0000155,BIL0000167,3376-BMGFE,2026-06-14 11:25:00,260.66,Debit Card,BillDesk,SUCCESS,TXN799630813
PMT0000156,BIL0000168,5997-OPVFA,2026-06-02 11:55:00,134.58,Debit Card,Stripe,SUCCESS,TXN231556799
PMT0000157,BIL0000170,1159-WFSGR,2026-06-12 16:35:00,201.07,Net Banking,PhonePe,SUCCESS,TXN398810232
PMT0000158,BIL0000171,7654-YWJUF,2026-06-03 11:23:00,40.42,Debit Card,Paytm,SUCCESS,TXN991305325
PMT0000159,BIL0000172,1875-QIVME,2026-06-05 14:24:00,64.19,Debit Card,Stripe,SUCCESS,TXN673553310
PMT0000160,BIL0000173,6727-IOTLZ,2026-06-04 19:30:00,155.7,Mailed check,Razorpay,SUCCESS,TXN425329291
PMT0000161,BIL0000174,0691-JVSYA,2026-06-03 10:41:00,52.92,Mailed check,Razorpay,FAILED,TXN456704598
PMT0000162,BIL0000175,5918-VUKWP,2026-06-08 13:26:00,201.25,UPI,PhonePe,SUCCESS,TXN458523867
PMT0000163,BIL0000176,1744-JHKYS,2026-06-02 18:47:00,0.0,UPI,Paytm,FAILED,TXN776676781
PMT0000164,BIL0000177,2656-FMOKZ,2026-06-07 10:46:00,87.85,Bank transfer (automatic),PhonePe,SUCCESS,TXN787549085
PMT0000165,BIL0000178,2070-FNEXE,2026-06-14 19:21:00,90.21,Credit Card,Stripe,SUCCESS,TXN230687624
PMT0000166,BIL0000179,5947-SGKCL,2026-06-11 21:20:00,124.31,Electronic check,Razorpay,SUCCESS,TXN466170385
PMT0000167,BIL0000180,3712-PKXZA,2026-06-05 19:24:00,24.25,Bank transfer (automatic),PhonePe,SUCCESS,TXN767025935
PMT0000168,BIL0000181,6317-YPKDH,2026-06-04 13:13:00,35.34,UPI,Stripe,SUCCESS,TXN462402452
PMT0000169,BIL0000182,6582-OIVSP,2026-06-14 14:34:00,53.45,Bank transfer (automatic),Razorpay,SUCCESS,TXN955833288
PMT0000170,BIL0000183,9367-WXLCH,2026-06-11 08:32:00,99.71,UPI,Paytm,SUCCESS,TXN390620514
PMT0000171,BIL0000184,5524-KHNJP,2026-06-09 13:15:00,88.21,Electronic check,BillDesk,SUCCESS,TXN508360285
PMT0000172,BIL0000185,1918-ZBFQJ,2026-06-11 11:46:00,64.01,Mailed check,Stripe,SUCCESS,TXN455269510
PMT0000173,BIL0000186,1024-GUALD,2026-06-07 22:26:00,0.0,Mailed check,PhonePe,SUCCESS,TXN635216277
PMT0000174,BIL0000187,4827-USJHP,2026-06-07 19:37:00,61.12,Mailed check,Stripe,SUCCESS,TXN219971645
PMT0000175,BIL0000188,8167-GJLRN,2026-06-13 14:54:00,153.87,Electronic check,Paytm,SUCCESS,TXN597961736
PMT0000176,BIL0000189,0956-SYCWG,2026-06-14 17:45:00,0.0,Net Banking,Razorpay,SUCCESS,TXN657068424
PMT0000177,BIL0000190,8017-UVSZU,2026-06-12 19:19:00,37.29,Electronic check,Stripe,SUCCESS,TXN912132439
PMT0000178,BIL0000191,7100-FQPRV,2026-06-11 12:35:00,84.84,Debit Card,BillDesk,SUCCESS,TXN518642788
PMT0000179,BIL0000192,2472-OVKUP,2026-06-12 13:16:00,225.38,Electronic check,Stripe,SUCCESS,TXN262037831
PMT0000180,BIL0000194,9680-NIAUV,2026-06-09 19:12:00,70.45,UPI,BillDesk,SUCCESS,TXN834484762
PMT0000181,BIL0000195,2146-EGVDT,2026-06-13 16:49:00,0.0,Debit Card,BillDesk,SUCCESS,TXN918307607
PMT0000182,BIL0000196,2604-IJPDU,2026-06-06 19:37:00,231.93,Electronic check,BillDesk,SUCCESS,TXN448436971
PMT0000183,BIL0000197,9178-JHUVJ,2026-06-08 16:36:00,0.0,Bank transfer (automatic),Paytm,SUCCESS,TXN405806961
PMT0000184,BIL0000198,6168-YBYNP,2026-06-04 08:34:00,278.89,Net Banking,Stripe,SUCCESS,TXN206130167
PMT0000185,BIL0000199,7255-SSFBC,2026-06-09 14:30:00,250.45,Net Banking,PhonePe,SUCCESS,TXN987589544
PMT0000186,BIL0000200,3645-DEYGF,2026-06-03 11:52:00,171.98,Electronic check,PhonePe,SUCCESS,TXN209929957
PMT0000187,BIL0000201,9323-HGFWY,2026-06-03 14:37:00,297.24,Mailed check,Razorpay,SUCCESS,TXN861743791
PMT0000188,BIL0000202,8544-GOQSH,2026-06-07 10:22:00,212.46,Electronic check,PhonePe,SUCCESS,TXN126482586
PMT0000189,BIL0000203,3363-DTIVD,2026-06-06 15:32:00,95.05,Electronic check,Razorpay,SUCCESS,TXN996181541
PMT0000190,BIL0000204,7018-WBJNK,2026-06-15 18:52:00,269.39,Net Banking,BillDesk,SUCCESS,TXN300865885
PMT0000191,BIL0000205,9142-KZXOP,2026-06-11 10:31:00,199.24,Credit Card,BillDesk,SUCCESS,TXN513696143
PMT0000192,BIL0000206,7674-YTAFD,2026-06-05 09:47:00,94.34,Bank transfer (automatic),Stripe,SUCCESS,TXN962656069
PMT0000193,BIL0000207,6348-SNFUS,2026-06-11 20:29:00,65.43,Credit Card,Razorpay,SUCCESS,TXN209081020
PMT0000194,BIL0000208,1285-OKIPP,2026-06-06 10:11:00,271.28,Credit Card,Stripe,SUCCESS,TXN376511643
PMT0000195,BIL0000209,7825-ECJRF,2026-06-02 22:31:00,184.79,Credit Card,PhonePe,SUCCESS,TXN811810578
PMT0000196,BIL0000210,1347-KTTTA,2026-06-06 20:32:00,61.89,Credit Card,Razorpay,SUCCESS,TXN577812920
PMT0000197,BIL0000211,7841-TZDMQ,2026-06-05 10:17:00,113.28,Net Banking,Paytm,SUCCESS,TXN130117614
PMT0000198,BIL0000212,4195-NZGTA,2026-06-08 19:00:00,0.29,Net Banking,BillDesk,SUCCESS,TXN414219974
PMT0000199,BIL0000214,4709-LKHYG,2026-06-08 09:57:00,82.6,Mailed check,Razorpay,SUCCESS,TXN983373680
PMT0000200,BIL0000215,2504-DSHIH,2026-06-12 15:27:00,43.42,Net Banking,Paytm,FAILED,TXN768848918
PMT0000201,BIL0000216,0699-NDKJM,2026-06-10 18:23:00,246.32,Net Banking,Paytm,SUCCESS,TXN850157896
PMT0000202,BIL0000217,9286-BHDQG,2026-06-11 22:06:00,171.39,UPI,BillDesk,SUCCESS,TXN924147531
PMT0000203,BIL0000218,0230-WEQUW,2026-06-06 08:58:00,96.29,Debit Card,Razorpay,SUCCESS,TXN544832152
PMT0000204,BIL0000219,2040-LDIWQ,2026-06-02 21:45:00,99.36,Electronic check,Stripe,SUCCESS,TXN590761931
PMT0000205,BIL0000220,6496-JDSSB,2026-06-05 20:22:00,35.4,Bank transfer (automatic),BillDesk,SUCCESS,TXN433772938
PMT0000206,BIL0000221,9408-SSNVZ,2026-06-10 18:20:00,171.28,Debit Card,PhonePe,FAILED,TXN832339108
PMT0000207,BIL0000222,4443-EMBNA,2026-06-03 17:56:00,0.0,Net Banking,BillDesk,FAILED,TXN107880116
PMT0000208,BIL0000223,6469-MRVET,2026-06-13 19:38:00,82.84,Mailed check,Stripe,SUCCESS,TXN476525024
PMT0000209,BIL0000224,0742-MOABM,2026-06-02 14:21:00,0.06,Debit Card,PhonePe,SUCCESS,TXN284585196
PMT0000210,BIL0000225,5961-VUSRV,2026-06-06 15:24:00,22.83,UPI,PhonePe,SUCCESS,TXN968055340
PMT0000211,BIL0000226,6778-JFCMK,2026-06-10 14:40:00,0.71,Net Banking,Razorpay,SUCCESS,TXN274132462
